window,latency
0,117569.277
1,139097.604
2,160536.914
3,181920.69
4,203215.53
5,223351.968
6,241668.522
7,257758.42999999996
8,271317.234
9,282011.745
10,289440.968
11,293216.558
12,293121.397
13,293045.183
14,293009.68799999997
15,292986.274
16,292971.46099999995
17,293121.905
18,293127.878
19,293138.59400000004
20,293069.68799999997
21,293051.54
22,293080.811
23,293130.921
24,293140.266
25,293045.157
26,293041.255
27,293011.076
28,293009.49700000003
29,292884.214
30,292824.429
31,292816.727
32,292798.287
33,292651.587
34,292504.597
35,292484.453
36,292505.875
37,292547.686
38,292488.647
39,292430.265
40,292326.016
41,292315.559
42,292340.15499999997
43,292352.90099999995
44,292410.231
45,292476.091
46,292472.055
47,292387.251
48,292260.014
49,292185.319
50,292125.75600000005
51,292085.127
52,292071.618
53,292095.823
54,292099.44899999996
55,292009.529
56,291988.471
57,291947.21900000004
58,291880.34900000005
59,291810.60000000003
60,291768.36
61,291736.059
62,291669.579
63,291796.07700000005
64,291763.985
65,291677.007
66,291608.143
67,291618.716
68,291617.81
69,291660.897
70,291800.629
71,291886.505
72,291903.421
73,291971.58400000003
74,292085.569
75,292061.605
76,292156.866
77,292184.244
78,292224.732
79,292247.84599999996
80,292313.39300000004
81,292306.20800000004
82,292238.79799999995
83,292298.549
84,292424.707
85,292410.341
86,292330.25800000003
87,292374.78099999996
88,292355.323
89,292292.884
90,292281.528
91,292241.272
92,292103.74100000004
93,292080.94299999997
94,292017.396
95,291844.294
96,291704.134
97,291655.04199999996
98,291697.66199999995
99,291608.36
100,291591.496
101,291675.50299999997
102,291618.489
103,291582.177
104,291536.59599999996
105,291471.213
106,291529.434
107,291684.99700000003
108,291696.49700000003
109,291705.886
110,291628.28
111,291554.19999999995
112,291557.035
113,291482.636
114,291469.19200000004
115,291621.16099999996
116,291790.118
117,291851.26900000003
118,291859.49199999997
119,291823.963
120,291896.228
121,291883.89999999997
122,291932.931
123,291994.053
124,291957.86199999996
125,291953.857
126,291949.24
127,291846.07399999996
128,291795.66
129,291915.62399999995
130,291924.69899999996
131,291935.22000000003
132,291855.871
