window,latency
0,2020-10-08 10:47:42.535780
1,2020-10-08 10:47:45.205372
2,2020-10-08 10:47:47.825556
3,2020-10-08 10:47:50.458509
4,2020-10-08 10:47:53.056958
5,2020-10-08 10:47:55.683231
6,2020-10-08 10:47:58.308660
7,2020-10-08 10:48:00.911169
8,2020-10-08 10:48:03.503445
9,2020-10-08 10:48:06.096009
10,2020-10-08 10:48:08.700764
11,2020-10-08 10:48:11.291301
12,2020-10-08 10:48:13.885021
13,2020-10-08 10:48:16.477943
14,2020-10-08 10:48:19.066955
15,2020-10-08 10:48:21.655165
16,2020-10-08 10:48:24.247742
17,2020-10-08 10:48:26.840997
18,2020-10-08 10:48:29.436397
19,2020-10-08 10:48:32.029801
20,2020-10-08 10:48:34.614744
21,2020-10-08 10:48:37.205526
22,2020-10-08 10:48:39.809482
23,2020-10-08 10:48:42.396374
24,2020-10-08 10:48:44.991958
25,2020-10-08 10:48:47.589697
26,2020-10-08 10:48:50.181759
27,2020-10-08 10:48:52.770742
28,2020-10-08 10:48:55.364785
29,2020-10-08 10:48:57.960533
30,2020-10-08 10:49:00.554258
31,2020-10-08 10:49:03.153453
32,2020-10-08 10:49:05.740821
33,2020-10-08 10:49:08.377685
34,2020-10-08 10:49:11.005597
35,2020-10-08 10:49:13.629462
36,2020-10-08 10:49:16.215005
37,2020-10-08 10:49:18.810880
38,2020-10-08 10:49:21.395717
39,2020-10-08 10:49:23.992874
40,2020-10-08 10:49:26.579447
41,2020-10-08 10:49:29.169907
42,2020-10-08 10:49:31.754916
43,2020-10-08 10:49:34.378632
44,2020-10-08 10:49:36.968893
45,2020-10-08 10:49:39.588495
46,2020-10-08 10:49:42.174498
47,2020-10-08 10:49:44.798814
48,2020-10-08 10:49:47.408321
49,2020-10-08 10:49:50.049131
50,2020-10-08 10:49:52.663348
51,2020-10-08 10:49:55.259125
52,2020-10-08 10:49:57.847710
53,2020-10-08 10:50:00.448903
54,2020-10-08 10:50:03.077656
55,2020-10-08 10:50:05.657841
56,2020-10-08 10:50:08.253251
57,2020-10-08 10:50:10.851350
58,2020-10-08 10:50:13.435528
59,2020-10-08 10:50:16.021406
60,2020-10-08 10:50:18.646499
61,2020-10-08 10:50:21.234242
62,2020-10-08 10:50:23.833921
63,2020-10-08 10:50:26.452721
64,2020-10-08 10:50:29.067966
65,2020-10-08 10:50:31.667276
66,2020-10-08 10:50:34.279783
67,2020-10-08 10:50:36.890110
68,2020-10-08 10:50:39.509477
69,2020-10-08 10:50:42.134692
70,2020-10-08 10:50:44.740638
71,2020-10-08 10:50:47.336808
72,2020-10-08 10:50:49.932287
73,2020-10-08 10:50:52.525921
74,2020-10-08 10:50:55.125475
75,2020-10-08 10:50:57.716947
76,2020-10-08 10:51:00.315450
77,2020-10-08 10:51:02.911490
78,2020-10-08 10:51:05.534127
79,2020-10-08 10:51:08.154250
80,2020-10-08 10:51:10.767120
81,2020-10-08 10:51:13.365352
82,2020-10-08 10:51:15.968041
83,2020-10-08 10:51:18.578907
84,2020-10-08 10:51:21.221899
85,2020-10-08 10:51:23.808009
86,2020-10-08 10:51:26.420012
87,2020-10-08 10:51:29.038310
88,2020-10-08 10:51:31.627332
89,2020-10-08 10:51:34.247992
90,2020-10-08 10:51:36.853280
