window,latency
0,2020-10-06 09:34:38.845002
1,2020-10-06 09:35:03.323736
2,2020-10-06 09:35:27.802183
3,2020-10-06 09:35:52.218872
4,2020-10-06 09:36:16.651513
5,2020-10-06 09:36:41.020971
6,2020-10-06 09:37:05.426009
7,2020-10-06 09:37:29.816877
8,2020-10-06 09:37:54.238144
9,2020-10-06 09:38:18.674603
10,2020-10-06 09:38:43.094631
11,2020-10-06 09:39:07.446823
12,2020-10-06 09:39:31.858678
13,2020-10-06 09:39:56.281689
14,2020-10-06 09:40:20.726835
15,2020-10-06 09:40:45.120450
16,2020-10-06 09:41:09.538482
17,2020-10-06 09:41:34.057344
18,2020-10-06 09:41:58.469712
19,2020-10-06 09:42:22.871669
20,2020-10-06 09:42:47.223660
21,2020-10-06 09:43:11.642313
22,2020-10-06 09:43:36.091482
23,2020-10-06 09:44:00.493640
24,2020-10-06 09:44:24.913169
25,2020-10-06 09:44:49.243081
26,2020-10-06 09:45:13.684029
27,2020-10-06 09:45:38.047978
28,2020-10-06 09:46:02.463500
29,2020-10-06 09:46:26.857395
30,2020-10-06 09:46:51.209056
31,2020-10-06 09:47:15.604231
32,2020-10-06 09:47:39.937356
33,2020-10-06 09:48:04.209928
34,2020-10-06 09:48:28.510955
35,2020-10-06 09:48:52.894486
36,2020-10-06 09:49:17.334390
37,2020-10-06 09:49:41.707251
38,2020-10-06 09:50:06.088743
39,2020-10-06 09:50:30.394032
40,2020-10-06 09:50:54.705274
41,2020-10-06 09:51:19.087622
42,2020-10-06 09:51:43.465323
43,2020-10-06 09:52:07.872601
44,2020-10-06 09:52:32.263996
45,2020-10-06 09:52:56.602253
46,2020-10-06 09:53:20.899264
47,2020-10-06 09:53:45.197863
48,2020-10-06 09:54:09.509103
49,2020-10-06 09:54:33.808702
50,2020-10-06 09:54:58.129707
51,2020-10-06 09:55:22.395578
52,2020-10-06 09:55:46.692920
53,2020-10-06 09:56:11.099208
54,2020-10-06 09:56:35.481209
55,2020-10-06 09:56:59.797203
56,2020-10-06 09:57:24.167628
57,2020-10-06 09:57:48.465814
58,2020-10-06 09:58:12.695206
