window,latency
0,111619.963
1,131774.194
2,151896.978
3,172064.18099999998
4,192130.57
5,211185.143
6,228529.03399999999
7,243760.073
8,256582.776
9,266756.127
10,273914.23500000004
11,277666.713
12,277737.85500000004
13,277755.91500000004
14,277686.368
15,277634.49100000004
16,277615.65
17,277629.207
18,277692.719
19,277789.45399999997
20,277770.785
21,277760.358
22,277726.96
23,277715.321
24,277670.484
25,277593.612
26,277655.918
27,277629.63300000003
28,277625.12
29,277637.983
30,277746.624
31,277757.57800000004
32,277822.37
33,277840.552
34,277899.98600000003
35,278025.60599999997
36,278236.70499999996
37,278379.797
38,278359.54199999996
39,278478.43
40,278493.919
41,278488.055
42,278405.565
43,278433.653
44,278480.871
45,278507.206
46,278587.409
47,278687.463
48,278700.837
49,278749.51
50,278863.948
51,278893.781
52,279111.496
53,279339.373
54,279474.103
55,279496.991
56,279476.37200000003
57,279536.449
58,279491.958
59,279424.351
60,279337.60599999997
61,279332.496
62,279282.08999999997
63,279230.333
64,279097.56399999995
65,278931.986
66,278800.191
67,278731.252
68,278721.591
69,278645.443
70,278633.20399999997
71,278602.543
72,278570.483
73,278602.315
74,278698.22900000005
75,278715.798
76,278735.84699999995
77,278804.564
78,278845.185
79,278852.36600000004
80,278853.98500000004
81,278935.97599999997
82,278922.327
83,278971.86
84,279001.26999999996
85,278918.581
86,278834.298
87,278966.37600000005
88,279025.127
89,279021.05
90,279006.976
91,279086.24700000003
92,279237.756
93,279221.939
94,279255.579
95,279168.672
96,279193.071
97,279211.068
98,279337.431
99,279368.80100000004
100,279362.686
101,279388.512
102,279440.251
103,279494.066
104,279442.047
105,279427.825
106,279398.37799999997
107,279473.613
108,279429.216
109,279485.61100000003
110,279404.646
111,279200.668
112,279154.089
113,279155.037
114,279080.851
115,279014.71900000004
116,279008.642
117,279036.29699999996
118,279015.672
119,279153.052
120,279255.17000000004
121,279318.85799999995
122,279241.901
123,279279.527
124,279290.973
125,279302.695
126,279308.365
127,279284.336
128,279244.463
129,279299.412
130,279307.343
131,279150.794
132,279041.88399999996
133,278869.188
134,278950.46400000004
135,278903.241
136,278924.807
137,278838.34500000003
138,278788.881
139,278738.709
140,278709.362
141,278630.597
142,278622.581
143,278552.021
144,278610.598
145,278684.58900000004
146,278676.57
147,278773.881
148,278725.127
149,278824.271
150,278915.67600000004
151,279097.105
152,279113.226
153,279051.18399999995
154,279131.983
155,279248.00299999997
156,279289.324
157,279320.18799999997
158,279348.782
159,279354.672
160,279466.293
161,279452.02
162,279443.42
163,279337.533
