window,latency
0,181.10299999999998
1,169.186
2,167.14200000000002
3,167.69500000000002
4,167.306
5,166.986
6,165.653
7,166.45
8,166.002
9,165.922
10,165.477
11,167.50699999999998
12,167.05
13,166.714
14,166.534
15,166.57
16,166.119
17,166.693
18,166.23399999999998
19,165.011
20,165.64000000000001
21,167.522
22,167.714
23,169.491
24,166.078
25,166.795
26,165.851
27,166.95
28,166.189
29,166.775
30,166.67000000000002
31,166.864
32,167.576
33,165.406
34,166.48499999999999
35,166.382
36,167.434
37,166.783
38,166.486
39,167.30999999999997
40,165.94400000000002
41,167.67499999999998
42,167.585
43,166.683
44,165.106
45,168.324
46,166.934
47,164.517
48,164.792
49,165.55
50,165.866
51,163.986
52,167.73399999999998
53,165.48499999999999
54,166.274
55,166.177
56,165.948
57,165.516
58,166.62099999999998
59,165.006
