window,latency
0,28.840999999999998
1,9.626999999999999
2,15.933
3,9.279
4,9.167
5,9.436
6,8.856
7,8.552999999999999
8,8.955
9,8.695
10,9.405
11,8.822
12,8.834999999999999
13,8.714
14,8.671999999999999
15,8.666
16,17.454
17,8.65
18,8.651
19,8.785
20,8.706999999999999
21,8.927
22,8.798
23,8.658
24,12.17
25,8.741999999999999
26,8.741999999999999
27,8.581
28,8.705
29,8.525
30,8.581999999999999
31,8.384
32,8.532
33,8.442
34,8.616999999999999
35,8.770999999999999
36,8.777
37,8.786
38,8.677
39,11.51
40,8.453
41,8.503
42,8.44
43,8.718
44,8.514999999999999
45,8.780999999999999
46,8.539
47,8.741
48,8.427
49,8.671999999999999
50,8.53
51,8.53
52,8.575999999999999
53,8.549
54,8.638
55,8.607
56,8.621
57,8.616
58,8.61
59,8.66
60,8.578999999999999
61,8.632
62,8.698
63,8.469
64,8.831
65,8.67
66,8.774
67,8.706999999999999
68,8.621
69,8.514999999999999
70,8.778
71,8.514999999999999
72,8.764999999999999
73,8.887
74,8.482999999999999
75,11.328999999999999
76,8.462
77,8.669
78,8.568999999999999
79,8.443
80,8.575
81,8.671
82,8.7
83,8.53
84,8.786999999999999
85,8.665
86,8.628
87,8.437999999999999
88,8.815
89,8.623999999999999
90,8.549999999999999
91,8.62
92,8.385
93,8.543
94,8.469999999999999
95,8.347
96,8.447
97,8.304
98,8.322
99,8.667
100,8.77
101,8.584
102,8.31
103,8.379999999999999
104,8.541
105,8.527
106,8.725999999999999
107,8.567
108,8.574
109,8.57
110,8.468
111,8.655
112,8.791
113,8.779
114,8.661999999999999
115,8.424999999999999
116,8.575
117,8.482
118,8.687999999999999
119,8.484
120,8.57
121,8.491
122,8.485999999999999
123,8.404
124,8.629999999999999
125,8.68
126,8.466
127,8.645
128,8.607999999999999
129,8.435
130,8.629
131,8.452
132,8.536
133,8.573
134,8.533
135,8.48
136,8.552999999999999
137,8.437
138,8.378
139,8.530999999999999
140,8.651
141,8.581999999999999
142,8.692
143,8.496
144,8.655
145,8.472999999999999
146,8.589
147,8.689
148,8.668
149,8.708
150,8.586
151,8.766
152,8.895
153,8.702
154,8.549
155,8.401
156,8.622
157,8.654
158,8.597999999999999
159,8.449
160,8.475
161,8.818
162,8.616
163,8.536999999999999
164,8.415
165,8.639999999999999
166,8.575
167,8.487
168,8.448
169,8.571
170,8.562
171,8.613
172,8.533
173,8.513
174,8.652
175,8.533
176,8.83
177,8.796
178,8.719
179,8.779
180,8.432
181,8.426
182,8.574
183,8.738
184,8.382
185,8.362
186,8.443999999999999
187,8.41
188,8.762
189,9.703999999999999
190,8.565999999999999
191,8.516
192,8.786999999999999
193,8.525
194,8.453
195,8.322
196,8.575
197,8.766
198,8.471
199,8.453999999999999
200,9.228
201,9.552999999999999
202,8.533
203,8.594999999999999
204,8.411
205,8.272
206,8.74
207,8.448
208,8.703
209,8.693
210,8.244
211,8.481
212,8.397
213,8.583
214,8.546
215,13.216
216,8.445
217,8.514
218,8.546999999999999
219,8.381
220,9.235
221,8.369
222,8.789
223,8.588
224,13.69
225,8.548
226,8.279
227,8.642999999999999
228,8.478
229,8.459999999999999
230,8.609
231,8.272
232,9.161999999999999
233,8.511
234,8.546
235,9.064
236,8.334999999999999
237,8.679
238,8.703999999999999
239,8.556
240,9.684
241,11.65
242,8.349
243,9.443999999999999
244,8.472999999999999
245,8.452
246,8.79
247,8.426
248,8.427999999999999
249,8.245
250,8.623
251,8.322
252,8.312
253,8.331
254,8.496
255,8.623999999999999
256,9.532
257,8.459999999999999
258,8.491999999999999
259,8.418
260,8.362
261,9.431
262,8.443
263,8.509
264,12.408
265,8.280999999999999
266,8.54
267,8.485
268,8.577
269,8.344999999999999
270,14.248999999999999
271,9.501
272,8.546
273,8.48
274,8.850999999999999
275,8.464
276,8.469999999999999
277,8.450999999999999
278,8.362
279,9.529
280,9.513
281,8.581
282,8.341999999999999
283,8.809
284,8.318
285,8.35
286,8.403
287,8.344999999999999
288,8.812
289,13.78
290,8.494
291,8.57
292,8.494
293,8.536
294,8.274
295,11.008
296,8.509
297,8.251999999999999
298,8.363
299,8.606
300,8.782
301,8.536999999999999
302,8.536999999999999
303,8.417
304,8.522
305,8.513
306,8.331999999999999
307,8.53
308,8.508
309,8.311
310,8.603
311,8.443
312,9.408
313,8.263
314,8.677
315,8.52
316,8.478
317,8.564
318,8.564
319,8.339
320,8.503
321,8.581999999999999
322,8.478
323,8.671
324,8.628
325,8.450999999999999
326,8.714
327,8.744
328,9.042
329,9.109
330,8.471
331,8.544
332,8.879
333,8.402
334,8.264
335,9.603
336,9.193
337,8.197
338,8.317
339,9.508
340,8.341999999999999
341,10.179
342,8.41
343,9.417
344,8.700999999999999
345,8.872
346,8.174999999999999
347,8.343
348,9.651
349,8.232999999999999
350,8.491
351,8.62
352,10.587
353,8.622
354,8.496
355,8.448
356,8.689
357,8.6
358,8.571
359,9.440999999999999
360,8.687999999999999
361,8.315999999999999
362,9.623
363,8.238
364,9.498
365,8.632
366,8.519
367,14.324
368,8.507
369,8.649
370,9.716
371,8.927
372,8.504999999999999
373,8.517999999999999
374,9.793
375,8.796
376,8.697
377,8.44
378,8.642999999999999
379,9.61
380,8.668
381,9.777999999999999
382,8.610999999999999
383,8.431
384,8.541
385,8.575999999999999
386,9.468
387,11.177999999999999
388,12.238999999999999
389,8.465
390,8.587
391,9.488
392,8.494
393,9.596
394,8.224
395,8.575
396,9.647
397,9.67
398,9.777
399,8.421
400,8.497
401,9.654
402,8.379
403,8.533
404,10.616999999999999
405,9.401
406,8.741
407,11.418
408,8.536
409,9.549999999999999
410,8.59
411,8.629
412,8.69
413,8.314
414,8.408999999999999
415,8.397
416,8.45
417,8.605
418,8.494
419,8.318999999999999
420,8.36
421,8.561
422,8.352
423,8.387
424,8.4
425,9.792
426,8.857999999999999
427,8.554
428,8.264999999999999
429,10.087
430,8.477
431,8.344999999999999
432,9.603
433,8.318
434,9.514
435,8.443
436,9.657
437,8.331999999999999
438,8.689
439,9.873999999999999
440,8.349
441,8.379999999999999
442,8.607
443,9.591
444,9.652999999999999
445,9.556
446,9.82
447,9.714
448,8.639999999999999
449,8.591999999999999
450,8.58
451,9.232999999999999
452,8.241999999999999
453,8.45
454,8.549
455,8.562
456,9.337
457,8.645999999999999
458,8.605
459,8.633
460,9.552
461,9.754999999999999
462,9.792
463,9.735
464,9.517999999999999
465,8.466999999999999
466,8.738
467,8.673
468,8.338
469,8.604
470,8.847
471,9.665
472,8.539
473,10.508
474,8.354
475,8.360999999999999
476,9.131
477,9.424999999999999
478,9.466
479,8.368
480,8.549
481,8.637
482,9.455
483,8.642999999999999
484,8.485999999999999
485,8.354
486,9.532
487,8.381
488,8.76
489,9.498
490,11.187
491,8.237
492,8.511
493,8.411999999999999
494,8.41
495,8.405
496,8.504999999999999
497,9.645999999999999
498,8.625
499,9.378
500,8.245
501,8.655
502,8.610999999999999
503,8.442
504,8.77
505,14.442
506,8.424
507,8.488999999999999
508,8.262
509,8.588
510,8.375
511,9.722
512,8.508
513,9.738999999999999
514,8.363999999999999
515,8.381
516,8.368
517,8.753
518,8.616
519,9.741999999999999
520,8.669
521,8.56
522,8.439
523,8.597999999999999
524,8.445
525,8.379
526,8.349
527,8.557
528,8.376
529,9.402999999999999
530,9.975999999999999
531,8.802
532,8.530999999999999
533,8.722999999999999
534,9.700999999999999
535,9.886999999999999
536,8.815
537,8.514
538,9.541
539,9.504999999999999
540,9.373999999999999
541,8.274
542,8.261
543,8.754
544,9.487
545,8.343
546,8.405
547,8.464
548,9.498999999999999
549,8.716999999999999
550,8.511
