window,latency
0,2020-07-08 10:39:40.095553
1,2020-07-08 10:39:41.266782
2,2020-07-08 10:39:42.822802
3,2020-07-08 10:39:44.374478
4,2020-07-08 10:39:46.126926
5,2020-07-08 10:39:47.561616
6,2020-07-08 10:39:49.043476
7,2020-07-08 10:39:50.623949
8,2020-07-08 10:39:52.150933
9,2020-07-08 10:39:53.682045
10,2020-07-08 10:39:55.224168
11,2020-07-08 10:39:56.769865
12,2020-07-08 10:39:58.301127
13,2020-07-08 10:39:59.857366
14,2020-07-08 10:40:01.405365
15,2020-07-08 10:40:03.070657
16,2020-07-08 10:40:04.546209
17,2020-07-08 10:40:06.075518
18,2020-07-08 10:40:07.620607
19,2020-07-08 10:40:09.177186
20,2020-07-08 10:40:10.744563
21,2020-07-08 10:40:12.268158
22,2020-07-08 10:40:13.794197
23,2020-07-08 10:40:15.330386
24,2020-07-08 10:40:16.876005
25,2020-07-08 10:40:18.432558
26,2020-07-08 10:40:19.967574
27,2020-07-08 10:40:21.548861
28,2020-07-08 10:40:23.071331
29,2020-07-08 10:40:24.602843
30,2020-07-08 10:40:26.148724
31,2020-07-08 10:40:27.713679
32,2020-07-08 10:40:29.227204
33,2020-07-08 10:40:30.766898
34,2020-07-08 10:40:32.327896
35,2020-07-08 10:40:33.842605
36,2020-07-08 10:40:35.386196
37,2020-07-08 10:40:36.926101
38,2020-07-08 10:40:38.462773
39,2020-07-08 10:40:39.992157
40,2020-07-08 10:40:41.525745
41,2020-07-08 10:40:43.058594
42,2020-07-08 10:40:44.598445
43,2020-07-08 10:40:46.127030
44,2020-07-08 10:40:47.662717
45,2020-07-08 10:40:49.206379
46,2020-07-08 10:40:50.744464
47,2020-07-08 10:40:52.273187
48,2020-07-08 10:40:53.806102
49,2020-07-08 10:40:55.351188
50,2020-07-08 10:40:56.884886
51,2020-07-08 10:40:58.432412
52,2020-07-08 10:40:59.959097
53,2020-07-08 10:41:01.498820
54,2020-07-08 10:41:03.246317
55,2020-07-08 10:41:04.829854
56,2020-07-08 10:41:06.519611
57,2020-07-08 10:41:07.908878
58,2020-07-08 10:41:09.437489
59,2020-07-08 10:41:10.980327
60,2020-07-08 10:41:12.525882
61,2020-07-08 10:41:14.060042
62,2020-07-08 10:41:15.595044
63,2020-07-08 10:41:17.136856
64,2020-07-08 10:41:18.686988
65,2020-07-08 10:41:20.228679
66,2020-07-08 10:41:21.767860
67,2020-07-08 10:41:23.305357
68,2020-07-08 10:41:24.834591
69,2020-07-08 10:41:26.373305
70,2020-07-08 10:41:27.912121
71,2020-07-08 10:41:29.439604
72,2020-07-08 10:41:30.985081
73,2020-07-08 10:41:32.517409
74,2020-07-08 10:41:34.058179
75,2020-07-08 10:41:35.594271
76,2020-07-08 10:41:37.128427
77,2020-07-08 10:41:38.660255
78,2020-07-08 10:41:40.200714
79,2020-07-08 10:41:41.732068
80,2020-07-08 10:41:43.271404
81,2020-07-08 10:41:44.802604
82,2020-07-08 10:41:46.337654
83,2020-07-08 10:41:47.876259
84,2020-07-08 10:41:49.408141
85,2020-07-08 10:41:50.945720
86,2020-07-08 10:41:52.478820
87,2020-07-08 10:41:54.008291
88,2020-07-08 10:41:55.546932
89,2020-07-08 10:41:57.083354
90,2020-07-08 10:41:58.617876
91,2020-07-08 10:42:00.156922
92,2020-07-08 10:42:01.769760
93,2020-07-08 10:42:03.855136
94,2020-07-08 10:42:05.149256
95,2020-07-08 10:42:06.702932
96,2020-07-08 10:42:08.242744
97,2020-07-08 10:42:09.783888
98,2020-07-08 10:42:11.322589
99,2020-07-08 10:42:12.861790
100,2020-07-08 10:42:14.397976
101,2020-07-08 10:42:15.933533
102,2020-07-08 10:42:17.478321
103,2020-07-08 10:42:19.011301
104,2020-07-08 10:42:20.549856
105,2020-07-08 10:42:22.096755
106,2020-07-08 10:42:23.619722
107,2020-07-08 10:42:25.158028
108,2020-07-08 10:42:26.692996
109,2020-07-08 10:42:28.223282
110,2020-07-08 10:42:29.762619
111,2020-07-08 10:42:31.313729
112,2020-07-08 10:42:32.849044
113,2020-07-08 10:42:34.382804
114,2020-07-08 10:42:35.916286
115,2020-07-08 10:42:37.446878
116,2020-07-08 10:42:38.983083
117,2020-07-08 10:42:40.517745
118,2020-07-08 10:42:42.050136
119,2020-07-08 10:42:43.587148
120,2020-07-08 10:42:45.127524
121,2020-07-08 10:42:46.666527
122,2020-07-08 10:42:48.194766
123,2020-07-08 10:42:49.733501
124,2020-07-08 10:42:51.266252
125,2020-07-08 10:42:52.801151
126,2020-07-08 10:42:54.335425
127,2020-07-08 10:42:55.874335
128,2020-07-08 10:42:57.415059
129,2020-07-08 10:42:58.939264
130,2020-07-08 10:43:00.472850
131,2020-07-08 10:43:02.013258
132,2020-07-08 10:43:04.146474
133,2020-07-08 10:43:05.538419
134,2020-07-08 10:43:07.091535
135,2020-07-08 10:43:08.632724
136,2020-07-08 10:43:10.170604
137,2020-07-08 10:43:11.710045
138,2020-07-08 10:43:13.276304
139,2020-07-08 10:43:14.821332
140,2020-07-08 10:43:16.365764
141,2020-07-08 10:43:17.891113
142,2020-07-08 10:43:19.431519
143,2020-07-08 10:43:20.968325
144,2020-07-08 10:43:22.505872
145,2020-07-08 10:43:24.041657
146,2020-07-08 10:43:25.575063
147,2020-07-08 10:43:27.106969
148,2020-07-08 10:43:28.641982
149,2020-07-08 10:43:30.173706
150,2020-07-08 10:43:31.710725
151,2020-07-08 10:43:33.248072
152,2020-07-08 10:43:34.778347
153,2020-07-08 10:43:36.308009
154,2020-07-08 10:43:37.846550
155,2020-07-08 10:43:39.376488
156,2020-07-08 10:43:40.910534
157,2020-07-08 10:43:42.446104
158,2020-07-08 10:43:43.977894
159,2020-07-08 10:43:45.516400
160,2020-07-08 10:43:47.046190
161,2020-07-08 10:43:48.582183
162,2020-07-08 10:43:50.112320
163,2020-07-08 10:43:51.648788
164,2020-07-08 10:43:53.184828
165,2020-07-08 10:43:54.721369
166,2020-07-08 10:43:56.244187
167,2020-07-08 10:43:57.787956
168,2020-07-08 10:43:59.313205
169,2020-07-08 10:44:00.847982
170,2020-07-08 10:44:02.683180
171,2020-07-08 10:44:04.474567
172,2020-07-08 10:44:06.026620
173,2020-07-08 10:44:07.567626
174,2020-07-08 10:44:09.097922
175,2020-07-08 10:44:10.637841
176,2020-07-08 10:44:12.178191
177,2020-07-08 10:44:13.708811
178,2020-07-08 10:44:15.241361
179,2020-07-08 10:44:16.790061
180,2020-07-08 10:44:18.326128
181,2020-07-08 10:44:19.865862
182,2020-07-08 10:44:21.398217
183,2020-07-08 10:44:22.938503
184,2020-07-08 10:44:24.481973
185,2020-07-08 10:44:26.017823
186,2020-07-08 10:44:27.550464
187,2020-07-08 10:44:29.085519
188,2020-07-08 10:44:30.617267
189,2020-07-08 10:44:32.151256
190,2020-07-08 10:44:33.692600
191,2020-07-08 10:44:35.222475
192,2020-07-08 10:44:36.756704
193,2020-07-08 10:44:38.298818
194,2020-07-08 10:44:39.827659
195,2020-07-08 10:44:41.358584
196,2020-07-08 10:44:42.898485
197,2020-07-08 10:44:44.436173
198,2020-07-08 10:44:45.977640
199,2020-07-08 10:44:47.530475
200,2020-07-08 10:44:49.041932
201,2020-07-08 10:44:50.590406
202,2020-07-08 10:44:52.110810
203,2020-07-08 10:44:53.644833
204,2020-07-08 10:44:55.177606
205,2020-07-08 10:44:56.710415
206,2020-07-08 10:44:58.242469
207,2020-07-08 10:44:59.776586
208,2020-07-08 10:45:01.311484
209,2020-07-08 10:45:03.083140
210,2020-07-08 10:45:04.848808
211,2020-07-08 10:45:06.339592
212,2020-07-08 10:45:07.877153
213,2020-07-08 10:45:09.412699
214,2020-07-08 10:45:10.949820
215,2020-07-08 10:45:12.485208
216,2020-07-08 10:45:14.015446
217,2020-07-08 10:45:15.556571
218,2020-07-08 10:45:17.097357
219,2020-07-08 10:45:18.634200
220,2020-07-08 10:45:20.171115
221,2020-07-08 10:45:21.704407
222,2020-07-08 10:45:23.242105
223,2020-07-08 10:45:24.776127
224,2020-07-08 10:45:26.312405
225,2020-07-08 10:45:27.847234
226,2020-07-08 10:45:29.378343
227,2020-07-08 10:45:30.916080
228,2020-07-08 10:45:32.445323
229,2020-07-08 10:45:33.977384
230,2020-07-08 10:45:35.522467
231,2020-07-08 10:45:37.055559
232,2020-07-08 10:45:38.594444
233,2020-07-08 10:45:40.126317
234,2020-07-08 10:45:41.661204
235,2020-07-08 10:45:43.195464
236,2020-07-08 10:45:44.731281
237,2020-07-08 10:45:46.259483
238,2020-07-08 10:45:47.807175
239,2020-07-08 10:45:49.340353
240,2020-07-08 10:45:50.875562
241,2020-07-08 10:45:52.406653
242,2020-07-08 10:45:53.949001
243,2020-07-08 10:45:55.479463
244,2020-07-08 10:45:57.013197
245,2020-07-08 10:45:58.549897
246,2020-07-08 10:46:00.086069
247,2020-07-08 10:46:01.631316
248,2020-07-08 10:46:03.810965
249,2020-07-08 10:46:05.083585
250,2020-07-08 10:46:06.635751
251,2020-07-08 10:46:08.166737
252,2020-07-08 10:46:09.706468
253,2020-07-08 10:46:11.249514
254,2020-07-08 10:46:12.830091
255,2020-07-08 10:46:14.316607
256,2020-07-08 10:46:15.852385
257,2020-07-08 10:46:17.389259
258,2020-07-08 10:46:18.927069
259,2020-07-08 10:46:20.466854
260,2020-07-08 10:46:21.998966
261,2020-07-08 10:46:23.530041
262,2020-07-08 10:46:25.063559
263,2020-07-08 10:46:26.599556
264,2020-07-08 10:46:28.126713
265,2020-07-08 10:46:29.660716
266,2020-07-08 10:46:31.199590
267,2020-07-08 10:46:32.727019
268,2020-07-08 10:46:34.272595
269,2020-07-08 10:46:35.802232
270,2020-07-08 10:46:37.339467
271,2020-07-08 10:46:38.872444
272,2020-07-08 10:46:40.409531
273,2020-07-08 10:46:41.948541
274,2020-07-08 10:46:43.474747
275,2020-07-08 10:46:45.010848
276,2020-07-08 10:46:46.540930
277,2020-07-08 10:46:48.078421
278,2020-07-08 10:46:49.612375
279,2020-07-08 10:46:51.140055
280,2020-07-08 10:46:52.672642
281,2020-07-08 10:46:54.207699
282,2020-07-08 10:46:55.744321
283,2020-07-08 10:46:57.283918
284,2020-07-08 10:46:58.814960
285,2020-07-08 10:47:00.345526
286,2020-07-08 10:47:01.930270
287,2020-07-08 10:47:04.430655
288,2020-07-08 10:47:05.500646
289,2020-07-08 10:47:06.601191
290,2020-07-08 10:47:08.153634
291,2020-07-08 10:47:09.693206
292,2020-07-08 10:47:11.235631
293,2020-07-08 10:47:12.766561
294,2020-07-08 10:47:14.300514
295,2020-07-08 10:47:15.832608
296,2020-07-08 10:47:17.374660
297,2020-07-08 10:47:18.911924
298,2020-07-08 10:47:20.456471
299,2020-07-08 10:47:21.994758
300,2020-07-08 10:47:23.533384
301,2020-07-08 10:47:25.065832
302,2020-07-08 10:47:26.598840
303,2020-07-08 10:47:28.135566
304,2020-07-08 10:47:29.669554
305,2020-07-08 10:47:31.203874
306,2020-07-08 10:47:32.735347
307,2020-07-08 10:47:34.273272
308,2020-07-08 10:47:35.798953
309,2020-07-08 10:47:37.332145
310,2020-07-08 10:47:38.864480
311,2020-07-08 10:47:40.401328
312,2020-07-08 10:47:41.938585
313,2020-07-08 10:47:43.479776
314,2020-07-08 10:47:45.016675
315,2020-07-08 10:47:46.564026
316,2020-07-08 10:47:48.088360
317,2020-07-08 10:47:49.627753
318,2020-07-08 10:47:51.157229
319,2020-07-08 10:47:52.691057
320,2020-07-08 10:47:54.223569
321,2020-07-08 10:47:55.758773
322,2020-07-08 10:47:57.291403
323,2020-07-08 10:47:58.818838
324,2020-07-08 10:48:00.356168
325,2020-07-08 10:48:01.894163
326,2020-07-08 10:48:03.895187
327,2020-07-08 10:48:05.690453
328,2020-07-08 10:48:06.944780
329,2020-07-08 10:48:08.523126
330,2020-07-08 10:48:10.070724
331,2020-07-08 10:48:11.610398
332,2020-07-08 10:48:13.140896
333,2020-07-08 10:48:14.676574
334,2020-07-08 10:48:16.224045
335,2020-07-08 10:48:17.769926
336,2020-07-08 10:48:19.295540
337,2020-07-08 10:48:20.832180
338,2020-07-08 10:48:22.384032
339,2020-07-08 10:48:23.916300
340,2020-07-08 10:48:25.448086
341,2020-07-08 10:48:26.983725
342,2020-07-08 10:48:28.518528
343,2020-07-08 10:48:30.064765
344,2020-07-08 10:48:31.585772
345,2020-07-08 10:48:33.119516
346,2020-07-08 10:48:34.659594
347,2020-07-08 10:48:36.196055
348,2020-07-08 10:48:37.731171
349,2020-07-08 10:48:39.262438
350,2020-07-08 10:48:40.793672
351,2020-07-08 10:48:42.329957
352,2020-07-08 10:48:43.874898
353,2020-07-08 10:48:45.402610
354,2020-07-08 10:48:46.942766
355,2020-07-08 10:48:48.478416
356,2020-07-08 10:48:50.012204
357,2020-07-08 10:48:51.542828
358,2020-07-08 10:48:53.079196
359,2020-07-08 10:48:54.611415
360,2020-07-08 10:48:56.140890
361,2020-07-08 10:48:57.684690
362,2020-07-08 10:48:59.202674
363,2020-07-08 10:49:00.741078
364,2020-07-08 10:49:02.327371
365,2020-07-08 10:49:04.378181
366,2020-07-08 10:49:05.500534
367,2020-07-08 10:49:07.040118
368,2020-07-08 10:49:08.581631
369,2020-07-08 10:49:10.118592
370,2020-07-08 10:49:11.657465
371,2020-07-08 10:49:13.196153
372,2020-07-08 10:49:14.729646
373,2020-07-08 10:49:16.266785
374,2020-07-08 10:49:17.797629
375,2020-07-08 10:49:19.348646
376,2020-07-08 10:49:20.883238
377,2020-07-08 10:49:22.418514
378,2020-07-08 10:49:23.950072
379,2020-07-08 10:49:25.481757
380,2020-07-08 10:49:27.015489
381,2020-07-08 10:49:28.552112
382,2020-07-08 10:49:30.081373
383,2020-07-08 10:49:31.615370
384,2020-07-08 10:49:33.151420
385,2020-07-08 10:49:34.690825
386,2020-07-08 10:49:36.223545
387,2020-07-08 10:49:37.758401
388,2020-07-08 10:49:39.292646
389,2020-07-08 10:49:40.825509
390,2020-07-08 10:49:42.360411
391,2020-07-08 10:49:43.892440
392,2020-07-08 10:49:45.427861
393,2020-07-08 10:49:46.964591
394,2020-07-08 10:49:48.493923
395,2020-07-08 10:49:50.027655
396,2020-07-08 10:49:51.565682
397,2020-07-08 10:49:53.092618
398,2020-07-08 10:49:54.630811
399,2020-07-08 10:49:56.160661
400,2020-07-08 10:49:57.693292
401,2020-07-08 10:49:59.232675
402,2020-07-08 10:50:00.766263
403,2020-07-08 10:50:02.570462
404,2020-07-08 10:50:04.022601
405,2020-07-08 10:50:05.477953
406,2020-07-08 10:50:07.021932
407,2020-07-08 10:50:08.559062
408,2020-07-08 10:50:10.103399
409,2020-07-08 10:50:11.646838
410,2020-07-08 10:50:13.177567
411,2020-07-08 10:50:14.714005
412,2020-07-08 10:50:16.250856
413,2020-07-08 10:50:17.795774
414,2020-07-08 10:50:19.358359
415,2020-07-08 10:50:20.871182
416,2020-07-08 10:50:22.410357
417,2020-07-08 10:50:23.949599
418,2020-07-08 10:50:25.482437
419,2020-07-08 10:50:27.024163
420,2020-07-08 10:50:28.552352
421,2020-07-08 10:50:30.089172
422,2020-07-08 10:50:31.622025
423,2020-07-08 10:50:33.161179
424,2020-07-08 10:50:34.704546
425,2020-07-08 10:50:36.233841
426,2020-07-08 10:50:37.773593
427,2020-07-08 10:50:39.308246
428,2020-07-08 10:50:40.844032
429,2020-07-08 10:50:42.380744
430,2020-07-08 10:50:43.915088
431,2020-07-08 10:50:45.446676
432,2020-07-08 10:50:46.977526
433,2020-07-08 10:50:48.514163
434,2020-07-08 10:50:50.050715
435,2020-07-08 10:50:51.587691
436,2020-07-08 10:50:53.120017
437,2020-07-08 10:50:54.660272
438,2020-07-08 10:50:56.199801
439,2020-07-08 10:50:57.744326
440,2020-07-08 10:50:59.267266
441,2020-07-08 10:51:00.800158
442,2020-07-08 10:51:02.346118
443,2020-07-08 10:51:04.328724
444,2020-07-08 10:51:05.704231
445,2020-07-08 10:51:07.262231
446,2020-07-08 10:51:08.790035
447,2020-07-08 10:51:10.330721
448,2020-07-08 10:51:11.865856
449,2020-07-08 10:51:13.400195
450,2020-07-08 10:51:14.938992
451,2020-07-08 10:51:16.474954
452,2020-07-08 10:51:18.011394
453,2020-07-08 10:51:19.579367
454,2020-07-08 10:51:21.087026
455,2020-07-08 10:51:22.623234
456,2020-07-08 10:51:24.157251
457,2020-07-08 10:51:25.695824
458,2020-07-08 10:51:27.229885
459,2020-07-08 10:51:28.764251
460,2020-07-08 10:51:30.298523
461,2020-07-08 10:51:31.832301
462,2020-07-08 10:51:33.366242
463,2020-07-08 10:51:34.900887
464,2020-07-08 10:51:36.432386
465,2020-07-08 10:51:37.958174
466,2020-07-08 10:51:39.496035
467,2020-07-08 10:51:41.042347
468,2020-07-08 10:51:42.561607
469,2020-07-08 10:51:44.096111
470,2020-07-08 10:51:45.629955
471,2020-07-08 10:51:47.162988
472,2020-07-08 10:51:48.699639
473,2020-07-08 10:51:50.232294
474,2020-07-08 10:51:51.757029
475,2020-07-08 10:51:53.302302
476,2020-07-08 10:51:54.836689
477,2020-07-08 10:51:56.366433
478,2020-07-08 10:51:57.898595
479,2020-07-08 10:51:59.432675
