window,latency
0,309.384
1,110.638
2,108.404
3,119.989
4,106.378
5,89.149
6,84.165
7,91.352
8,86.62
9,77.85400000000001
10,66.32000000000001
11,90.207
12,86.295
13,87.56899999999999
14,101.589
15,68.77900000000001
16,91.378
17,81.657
18,73.945
19,69.828
20,80.917
21,69.576
22,67.709
23,78.724
24,103.54599999999999
25,89.843
26,79.821
27,63.985
28,82.24199999999999
29,80.13499999999999
30,71.253
31,82.664
32,74.35300000000001
33,68.076
34,82.27199999999999
35,71.674
36,80.966
37,76.918
38,70.628
39,58.160999999999994
40,80.817
41,74.02300000000001
42,83.412
43,78.801
44,74.666
45,76.111
46,85.608
47,66.125
48,61.818999999999996
49,82.73
50,71.698
51,58.187999999999995
52,71.794
53,82.44
54,78.27499999999999
55,77.675
56,64.916
57,65.16900000000001
58,76.907
59,54.625
60,87.753
61,84.16600000000001
62,82.16
63,62.308
64,73.323
65,77.004
66,62.468
67,63.68899999999999
68,97.05999999999999
69,87.752
70,75.601
71,68.371
72,68.293
73,59.668
74,61.966
75,62.232
76,61.083999999999996
77,55.339
78,61.452
79,59.296
80,64.279
81,84.422
82,77.441
83,63.797000000000004
84,59.956
85,76.73
86,59.829
87,68.08699999999999
88,62.751000000000005
89,69.228
90,70.14099999999999
91,78.35300000000001
92,60.87
93,78.017
94,71.552
95,61.68
96,65.863
97,63.46
98,75.33800000000001
99,74.27799999999999
100,73.681
101,65.56700000000001
102,70.79299999999999
103,78.494
104,64.269
105,78.771
106,69.505
107,68.827
108,67.15899999999999
109,68.324
110,64.353
111,78.454
112,72.45400000000001
113,65.00200000000001
114,67.86399999999999
115,74.612
116,81.055
117,65.65799999999999
118,66.79400000000001
119,76.679
120,69.783
121,60.041
122,80.421
123,68.66600000000001
124,72.174
125,72.254
126,90.651
127,72.51199999999999
128,75.64999999999999
129,64.623
130,88.752
131,71.42
132,59.503
133,61.53
134,62.843999999999994
135,62.645999999999994
136,58.39
137,63.340999999999994
138,76.59299999999999
139,68.701
140,75.518
141,80.955
142,65.501
143,93.984
144,63.71300000000001
145,62.67399999999999
146,72.447
147,90.468
148,74.68900000000001
149,75.022
150,75.419
151,88.048
152,83.914
153,80.714
154,67.039
155,73.103
156,79.417
157,85.164
158,83.5
159,83.996
160,90.049
161,87.248
162,75.139
163,78.613
164,80.95700000000001
165,85.169
166,83.97200000000001
167,81.378
168,77.32
169,82.631
170,76.39999999999999
171,84.325
172,74.753
173,81.376
174,84.104
175,75.932
176,82.094
177,84.966
178,83.376
179,81.54899999999999
180,80.039
181,76.646
182,74.006
183,87.61099999999999
184,79.00200000000001
185,74.14
186,83.396
187,77.185
188,84.965
189,72.161
190,73.783
191,88.078
192,84.678
193,73.73
194,79.396
195,81.729
196,83.133
197,72.95100000000001
198,69.42099999999999
199,89.102
200,84.274
201,87.062
202,71.59400000000001
203,69.14399999999999
204,71.37400000000001
205,71.76
206,74.07900000000001
207,69.04599999999999
208,83.944
209,74.399
210,86.194
211,75.22099999999999
212,84.813
213,85.357
214,88.089
215,83.56700000000001
216,75.53999999999999
217,77.206
218,79.433
219,78.979
220,80.774
221,82.233
222,72.424
223,78.301
224,70.61399999999999
225,74.63300000000001
226,82.273
227,85.575
228,83.634
229,77.942
230,94.002
231,69.635
232,71.739
233,70.904
234,75.021
235,84.11399999999999
236,84.871
237,88.836
238,83.702
239,82.167
240,72.57
241,69.487
242,73.102
243,75.27799999999999
244,86.09899999999999
245,94.483
246,80.091
247,75.579
248,73.85799999999999
249,63.82899999999999
250,88.644
251,74.438
252,69.638
253,75.723
254,80.308
255,87.023
256,84.593
257,80.898
258,71.62100000000001
259,71.7
260,75.67500000000001
261,84.672
262,82.592
263,79.473
264,81.533
265,72.87599999999999
266,82.36699999999999
267,79.999
268,71.76100000000001
269,83.016
270,74.554
271,84.271
272,74.809
273,76.405
274,66.285
275,76.619
276,77.464
277,82.797
278,74.087
279,73.943
280,75.462
281,79.376
282,83.378
283,89.279
284,80.353
285,85.748
286,73.25099999999999
287,71.254
288,79.485
289,76.294
290,79.021
291,83.44500000000001
292,71.205
293,85.699
294,85.478
295,78.796
296,85.343
297,74.754
298,78.048
299,83.803
300,72.42899999999999
301,73.41300000000001
302,79.24499999999999
303,79.00200000000001
304,77.033
305,77.641
306,72.582
307,84.126
308,71.802
309,76.40299999999999
310,76.292
311,76.422
312,78.87700000000001
313,83.376
314,70.674
315,72.922
316,74.751
317,78.19500000000001
318,73.58099999999999
319,87.059
320,73.537
321,81.58500000000001
322,72.968
323,88.17999999999999
324,76.884
325,77.261
326,93.16199999999999
327,72.541
328,91.568
329,72.03099999999999
330,81.556
331,77.08800000000001
332,72.985
333,75.234
334,89.571
335,84.605
336,84.408
337,78.676
338,83.278
339,89.786
340,62.89699999999999
341,78.56200000000001
342,92.13300000000001
343,81.506
344,76.31200000000001
345,81.878
346,81.508
347,81.94999999999999
348,74.989
349,74.15299999999999
350,70.658
351,74.014
352,92.585
353,83.55600000000001
354,72.215
355,68.265
356,72.65
357,74.396
358,69.378
359,69.198
360,72.399
361,87.559
362,86.1
363,71.30300000000001
364,79.325
365,77.606
366,83.272
367,81.05999999999999
368,72.563
369,81.398
370,74.009
371,79.187
372,80.92699999999999
373,77.20200000000001
374,71.259
375,78.408
376,79.279
377,74.875
378,81.944
379,73.72800000000001
380,81.636
381,78.479
382,84.17099999999999
383,91.962
384,75.34200000000001
385,88.021
386,93.45299999999999
387,82.398
388,83.428
389,77.64500000000001
390,72.785
391,76.722
392,88.799
393,84.015
394,77.888
395,71.19200000000001
396,85.851
397,84.23899999999999
398,82.498
399,82.118
400,71.36399999999999
401,68.28099999999999
402,74.585
403,73.886
404,73.256
405,72.022
406,84.631
407,81.336
408,81.982
409,94.511
410,83.726
411,67.96199999999999
412,87.034
413,76.20100000000001
414,92.16499999999999
415,74.161
416,72.57900000000001
417,93.206
418,72.53
419,74.107
420,67.593
421,85.278
422,101.196
423,66.801
424,68.086
425,81.375
426,80.071
427,86.20400000000001
428,99.995
429,75.507
430,74.268
431,83.619
432,72.239
433,82.785
434,84.47699999999999
435,75.71
436,70.838
437,83.83200000000001
438,84.663
439,86.297
440,71.279
441,77.852
442,74.158
443,75.347
444,77.568
445,74.98599999999999
446,74.703
447,84.00399999999999
448,70.655
449,80.53299999999999
450,68.774
451,79.141
452,74.975
453,74.024
454,85.95400000000001
455,75.02300000000001
456,87.062
457,82.621
458,90.975
459,73.941
460,73.296
461,72.632
462,82.592
463,73.302
464,66.66999999999999
465,77.788
466,76.291
467,85.275
468,82.943
469,72.58399999999999
470,74.866
471,82.592
472,78.96000000000001
473,81.065
474,79.227
475,83.68100000000001
476,90.28500000000001
477,75.53
478,72.755
479,72.729
480,83.016
481,74.13
482,73.422
483,77.236
484,72.505
485,73.295
