window,latency
0,39390.504
1,39462.53200000001
2,39449.524
3,39447.162
4,39443.52099999999
5,39446.896
6,39442.371999999996
7,39443.29
8,39432.859000000004
9,39427.258
10,39416.123
11,39402.471
12,39399.291
13,39394.001000000004
14,39389.729
15,39388.437000000005
16,39381.357
17,39379.320999999996
18,39371.521
19,39370.608
20,39377.06
21,39365.268000000004
22,39364.948
23,39364.026000000005
24,39363.461
25,39362.862
26,39362.829
27,39364.915
28,39365.029
29,39365.589
30,39365.143000000004
31,39365.223
32,39364.561
33,39364.851
34,39366.140999999996
35,39368.698000000004
36,39364.886
37,39364.967
38,39365.586
39,39365.192
40,39363.428
41,39368.085
42,39365.437999999995
43,39364.666
44,39364.403000000006
45,39363.213
46,39363.498999999996
47,39364.145000000004
48,39364.246
49,39365.319
50,39365.462999999996
51,39363.39
52,39364.185999999994
53,39364.582
54,39362.986999999994
55,39361.846
56,39361.378000000004
57,39361.459
58,39362.118
59,39360.672999999995
60,39360.031
61,39358.604999999996
62,39358.32
63,39362.026999999995
64,39357.641
65,39357.731999999996
66,39357.393000000004
67,39357.678
68,39357.916000000005
69,39358.058999999994
70,39357.481999999996
71,39357.697
72,39358.469
73,39361.109
74,39360.744
75,39359.772999999994
76,39360.662
77,39361.296
78,39361.032999999996
79,39361.948
80,39361.665
81,39362.386999999995
82,39362.187
83,39362.973
84,39362.515999999996
85,39363.47
86,39362.386
87,39361.646
88,39362.488999999994
89,39361.581
90,39363.262
91,39362.98
92,39362.519
93,39365.4
94,39364.837
95,39365.068999999996
96,39365.165
97,39368.029
98,39364.524000000005
99,39364.064
100,39364.154
101,39363.606
102,39363.631
103,39362.434
104,39362.158
105,39361.799
106,39360.266
107,39360.571
108,39361.656
109,39361.745
110,39363.91299999999
111,39363.776
112,39363.948000000004
113,39365.629
114,39367.897999999994
115,39368.597
116,39368.263
117,39367.978
118,39368.58500000001
119,39368.307
120,39367.659
121,39370.023
122,39365.96
123,39364.10999999999
124,39364.632999999994
125,39365.024
126,39363.388999999996
127,39361.55
128,39359.57
129,39358.377
130,39357.419
131,39356.369
132,39357.255000000005
133,39356.481
134,39355.952000000005
135,39356.419
136,39358.505
137,39353.521
138,39352.494
139,39351.207
140,39350.39
141,39350.021
142,39350.063
143,39349.473000000005
144,39349.575000000004
145,39349.153999999995
146,39349.36
147,39349.497
148,39348.521
149,39348.522000000004
150,39347.393
151,39348.825
152,39350.197
153,39350.248999999996
154,39350.784
155,39351.149999999994
156,39351.705
157,39351.497
158,39351.448
159,39351.814
160,39351.905
161,39353.244
162,39353.856999999996
163,39355.505
164,39352.888999999996
165,39355.192
166,39353.946
167,39353.452
168,39354.064
169,39353.149000000005
170,39356.704
171,39353.718
172,39353.912000000004
173,39353.639
174,39353.977999999996
175,39353.526000000005
176,39353.225
177,39354.248
178,39354.385
179,39354.178
180,39353.78999999999
181,39353.672000000006
182,39354.146
183,39358.475
184,39354.109000000004
185,39353.39
186,39353.318999999996
187,39352.793
188,39352.584
189,39356.282
190,39351.349
191,39352.036
192,39351.632000000005
193,39353.555
194,39352.221
195,39352.409
196,39352.329
197,39351.89
198,39352.376
199,39352.307
200,39355.668
201,39355.897
202,39351.835
203,39351.602
204,39351.001
205,39350.424
206,39349.406
207,39350.401
208,39350.483
209,39350.434
210,39350.85
211,39351.326
212,39352.210999999996
213,39352.636
214,39353.427
215,39352.271
216,39352.596
217,39353.627
218,39354.231
219,39357.801
220,39352.741
221,39352.932
222,39352.842000000004
223,39352.763000000006
224,39353.018
225,39352.114
226,39351.377
227,39351.574
228,39351.636
229,39351.549
230,39351.036
231,39318.742999999995
232,39351.852999999996
233,39353.225
234,39340.472
235,39351.21
236,39350.442
237,39350.301
238,39350.929000000004
239,39351.368
240,39350.158
241,39349.898
242,39350.13
243,39351.282
244,39351.778000000006
245,39351.254
246,39351.584
247,39351.784
248,39352.015999999996
249,39352.269
250,39352.225
251,39353.115000000005
252,39354.234
253,39355.32
254,39355.117999999995
255,39355.481
256,39354.776
257,39353.883
258,39354.153
259,39353.33
260,39357.176
261,39354.066000000006
262,39355.061
263,39357.37
264,39356.712
265,39355.472
266,39354.919
267,39355.127
268,39355.283
269,39354.458999999995
270,39355.103
271,39355.092
272,39355.602
273,39359.194
274,39358.112
275,39356.633
276,39350.811
277,39350.378
278,39351.235
279,39351.560999999994
280,39351.473
281,39353.229
282,39351.967000000004
283,39351.923
284,39353.614
285,39352.97
286,39353.158
287,39353.001
288,39352.600000000006
289,39351.847
290,39353.496999999996
291,39354.007000000005
