window,latency
0,2020-10-05 11:16:12.433422
1,2020-10-05 11:16:27.440895
2,2020-10-05 11:16:42.472207
3,2020-10-05 11:16:57.500126
4,2020-10-05 11:17:12.528758
5,2020-10-05 11:17:27.556708
6,2020-10-05 11:17:42.582660
7,2020-10-05 11:17:57.610170
8,2020-10-05 11:18:12.635183
9,2020-10-05 11:18:27.660708
10,2020-10-05 11:18:42.687498
11,2020-10-05 11:18:57.712161
12,2020-10-05 11:19:12.737733
13,2020-10-05 11:19:27.763044
14,2020-10-05 11:19:42.789300
15,2020-10-05 11:19:57.815320
16,2020-10-05 11:20:12.841355
17,2020-10-05 11:20:27.876852
18,2020-10-05 11:20:42.894491
19,2020-10-05 11:20:57.919411
20,2020-10-05 11:21:12.944951
21,2020-10-05 11:21:27.971455
22,2020-10-05 11:21:42.998779
23,2020-10-05 11:21:58.023282
24,2020-10-05 11:22:13.049735
25,2020-10-05 11:22:28.075720
26,2020-10-05 11:22:43.102658
27,2020-10-05 11:22:58.128468
28,2020-10-05 11:23:13.155849
29,2020-10-05 11:23:28.180867
30,2020-10-05 11:23:43.208585
31,2020-10-05 11:23:58.232386
32,2020-10-05 11:24:13.259648
33,2020-10-05 11:24:28.284744
34,2020-10-05 11:24:43.310846
35,2020-10-05 11:24:58.337010
36,2020-10-05 11:25:13.363725
37,2020-10-05 11:25:28.389296
38,2020-10-05 11:25:43.414898
39,2020-10-05 11:25:58.441441
40,2020-10-05 11:26:13.466502
41,2020-10-05 11:26:28.490929
42,2020-10-05 11:26:43.515898
43,2020-10-05 11:26:58.542597
44,2020-10-05 11:27:13.566543
45,2020-10-05 11:27:28.592212
46,2020-10-05 11:27:43.616733
47,2020-10-05 11:27:58.643523
48,2020-10-05 11:28:13.668108
49,2020-10-05 11:28:28.693776
50,2020-10-05 11:28:43.720470
51,2020-10-05 11:28:58.747340
52,2020-10-05 11:29:13.772439
53,2020-10-05 11:29:28.797250
54,2020-10-05 11:29:43.823458
55,2020-10-05 11:29:58.849618
56,2020-10-05 11:30:13.875442
57,2020-10-05 11:30:28.901646
58,2020-10-05 11:30:43.925853
59,2020-10-05 11:30:58.951721
60,2020-10-05 11:31:13.977625
61,2020-10-05 11:31:29.004542
62,2020-10-05 11:31:44.029679
63,2020-10-05 11:31:59.055375
64,2020-10-05 11:32:14.080584
65,2020-10-05 11:32:29.107064
66,2020-10-05 11:32:44.133241
