window,latency
0,1539.0649999999998
1,1329.016
2,1090.774
3,835.92
4,647.54
5,648.91
6,160.53500000000003
7,143.707
8,109.53
9,57.664
10,215.325
11,74.437
12,639.558
13,1156.155
14,1578.3290000000002
15,1573.955
16,1575.8190000000002
17,1574.2730000000001
18,1577.98
19,1577.663
20,1578.49
21,1578.934
22,1598.916
23,1453.666
24,1575.6129999999998
25,1574.781
26,1581.914
27,1579.172
28,1576.811
29,1571.997
30,1572.878
31,1583.008
32,1586.411
33,1578.829
34,1574.633
35,1575.947
36,1574.889
37,1573.25
38,1591.17
39,1581.169
40,1573.062
41,1577.06
42,1584.487
43,1586.535
44,1442.062
45,1589.607
46,1566.872
47,1578.931
48,1602.396
49,1493.609
50,1386.444
51,1576.934
52,1572.959
53,1580.526
54,1584.276
55,1576.365
56,1574.849
57,1572.402
58,1574.322
59,1583.402
60,1582.3339999999998
61,1579.5349999999999
62,1572.895
63,1570.791
64,1573.969
65,1570.2
66,1571.1999999999998
67,1572.1750000000002
68,1573.1599999999999
69,1577.322
70,1588.95
71,1600.021
72,1578.941
73,1572.0749999999998
74,1572.777
75,1575.272
76,1573.3809999999999
77,1575.8719999999998
78,1572.686
79,1571.2759999999998
80,1576.664
81,1593.956
82,1575.346
83,1572.0240000000001
84,1579.3120000000001
85,1578.289
86,1572.346
87,1572.56
88,1582.1499999999999
89,1571.432
90,1574.822
91,1574.538
92,1572.2769999999998
93,1573.234
94,1580.377
95,1581.782
96,1573.278
97,1577.383
98,1577.612
99,1577.8829999999998
100,1577.066
101,1570.8899999999999
102,1573.421
103,1575.248
104,1575.465
105,1585.298
106,1568.8690000000001
107,1579.525
108,1580.912
109,1574.5240000000001
110,1566.713
111,1575.99
112,1573.275
113,1572.367
114,1576.344
115,1571.562
116,1567.2269999999999
117,1576.1989999999998
118,1571.844
119,1576.204
120,1578.621
121,1572.482
122,1578.3100000000002
123,1573.812
124,1573.777
125,1575.776
126,1579.157
127,1577.6509999999998
128,1585.0919999999999
129,1586.719
130,1577.611
131,1571.741
132,1574.004
133,1573.544
134,1571.4660000000001
135,1583.2939999999999
136,1575.07
137,1572.9869999999999
138,1570.6850000000002
139,1579.968
140,1577.253
141,1574.4370000000001
142,1573.432
143,1571.949
144,1571.151
145,1572.939
146,1570.479
147,1572.7640000000001
148,1570.184
149,1574.35
150,1576.2910000000002
151,1578.738
152,1580.13
153,1582.546
154,1577.604
155,1576.535
156,1568.622
157,1574.991
158,1570.219
159,1576.1989999999998
160,1572.229
161,1575.318
162,1570.816
163,1572.9850000000001
164,1570.357
165,1571.014
166,1575.982
167,1571.716
168,1585.007
169,1572.735
170,1572.79
171,1572.4569999999999
172,1576.219
173,1581.277
174,1569.922
175,1572.3419999999999
176,1574.3990000000001
177,1572.442
178,1578.2910000000002
179,1576.377
180,1572.74
181,1571.6889999999999
182,1572.628
183,1580.729
184,1563.48
185,1572.4089999999999
186,1578.785
187,1571.4589999999998
188,1569.986
189,1570.411
190,1571.207
191,1572.145
192,1577.43
193,1573.144
194,1580.164
195,1564.539
196,1575.473
197,1569.749
198,1571.4550000000002
199,1570.792
200,1584.111
201,1582.846
202,1574.65
203,1571.237
204,1573.408
205,1572.02
206,1573.308
207,1574.556
208,1579.473
209,1571.7740000000001
210,1571.658
211,1573.162
212,1571.193
213,1575.273
214,1584.1009999999999
215,1573.099
216,1580.6109999999999
217,1570.097
218,1571.019
219,1576.093
220,1572.115
221,1569.8790000000001
222,1582.2359999999999
223,1571.814
224,1569.7939999999999
225,1577.2820000000002
226,1569.98
227,1571.888
228,1572.3210000000001
229,1573.317
230,1571.482
231,1575.134
232,1571.148
