window,latency
0,1603.905
1,1569.022
2,1559.974
3,1564.886
4,1560.493
5,1557.32
6,1557.309
7,1559.528
8,1554.2540000000001
9,1552.281
10,1552.335
11,1552.049
12,1552.837
13,1556.405
14,1557.722
15,1551.741
16,1551.58
17,1551.449
18,1549.83
19,1550.2359999999999
20,1549.276
21,1552.08
22,1552.022
23,1549.6049999999998
24,1556.7040000000002
25,1548.9109999999998
26,1550.488
27,1550.0700000000002
28,1548.81
29,1549.5749999999998
30,1550.778
31,1549.237
32,1551.647
33,1549.0520000000001
34,1548.994
35,1550.995
36,1549.3319999999999
37,1549.247
38,1548.9470000000001
39,1549.003
40,1550.5359999999998
41,1549.371
42,1554.811
43,1548.826
44,1549.284
45,1548.9360000000001
46,1549.074
47,1550.03
48,1551.462
49,1549.451
50,1549.54
51,1549.015
52,1548.965
53,1548.841
54,1550.168
55,1549.419
56,1548.733
57,1549.315
58,1548.9859999999999
59,1549.3
60,1558.387
61,1550.461
62,1548.668
63,1549.167
64,1548.204
65,1548.668
66,1548.48
67,1548.99
68,1549.01
69,1548.315
70,1548.566
71,1548.708
72,1549.008
73,1548.794
74,1548.942
75,1548.271
76,1548.818
77,1548.845
78,1548.6299999999999
79,1548.6789999999999
80,1548.623
81,1548.511
82,1550.449
83,1548.875
84,1549.0459999999998
85,1548.998
86,1548.7949999999998
87,1548.797
88,1548.564
89,1550.166
90,1549.371
91,1548.624
92,1549.913
93,1548.6109999999999
94,1548.511
95,1556.497
96,1549.584
97,1547.954
98,1548.3329999999999
99,1549.782
100,1549.997
101,1548.52
102,1547.971
103,1548.688
104,1549.765
105,1548.548
106,1548.914
107,1550.0259999999998
108,1548.7830000000001
109,1550.163
110,1548.2549999999999
111,1549.1390000000001
112,1548.882
113,1557.6319999999998
114,1548.265
115,1547.901
116,1548.567
117,1548.377
118,1548.469
119,1548.94
120,1548.94
121,1548.954
122,1548.417
123,1548.867
124,1548.4750000000001
125,1548.4869999999999
126,1548.6819999999998
127,1548.5910000000001
128,1548.0929999999998
129,1548.516
130,1548.2549999999999
131,1556.432
132,1548.636
133,1548.3400000000001
134,1548.451
135,1548.268
136,1548.421
137,1548.435
138,1548.465
139,1548.119
140,1547.7
141,1547.753
142,1547.818
143,1548.185
144,1547.777
145,1548.0069999999998
146,1549.0040000000001
147,1559.673
148,1561.9160000000002
149,1547.993
150,1547.612
151,1547.264
152,1547.9099999999999
153,1547.9560000000001
154,1547.3239999999998
155,1547.776
156,1547.652
157,1547.79
158,1547.672
159,1550.777
160,1549.5749999999998
161,1547.5620000000001
162,1547.769
163,1547.067
164,1548.084
165,1547.839
166,1555.641
167,1547.314
168,1547.8670000000002
169,1548.0439999999999
170,1547.599
171,1547.672
172,1547.8609999999999
173,1547.4099999999999
174,1548.3519999999999
175,1547.264
176,1548.287
177,1548.249
178,1548.846
179,1548.157
180,1547.566
181,1547.536
182,1547.611
183,1556.087
184,1547.6000000000001
185,1547.288
186,1547.807
187,1546.959
188,1547.82
189,1547.941
190,1548.1879999999999
191,1547.565
192,1547.684
193,1548.322
194,1547.664
195,1547.488
196,1547.926
197,1547.442
198,1548.132
199,1548.201
