window,latency
0,2020-09-18 14:01:00.130812
1,2020-09-18 14:01:01.603530
2,2020-09-18 14:01:03.138355
3,2020-09-18 14:01:04.675249
4,2020-09-18 14:01:06.212509
5,2020-09-18 14:01:07.743196
6,2020-09-18 14:01:09.272998
7,2020-09-18 14:01:10.806910
8,2020-09-18 14:01:12.334845
9,2020-09-18 14:01:13.872339
10,2020-09-18 14:01:15.406197
11,2020-09-18 14:01:16.935868
12,2020-09-18 14:01:18.465901
13,2020-09-18 14:01:19.995618
14,2020-09-18 14:01:21.525954
15,2020-09-18 14:01:23.050801
16,2020-09-18 14:01:24.578359
17,2020-09-18 14:01:26.108601
18,2020-09-18 14:01:27.637025
19,2020-09-18 14:01:29.164223
20,2020-09-18 14:01:30.690910
21,2020-09-18 14:01:32.217283
22,2020-09-18 14:01:33.747070
23,2020-09-18 14:01:35.275050
24,2020-09-18 14:01:36.800536
25,2020-09-18 14:01:38.331890
26,2020-09-18 14:01:39.859458
27,2020-09-18 14:01:41.385221
28,2020-09-18 14:01:42.911203
29,2020-09-18 14:01:44.436278
30,2020-09-18 14:01:45.963940
31,2020-09-18 14:01:47.490315
32,2020-09-18 14:01:49.016639
33,2020-09-18 14:01:50.541630
34,2020-09-18 14:01:52.066988
35,2020-09-18 14:01:53.592142
36,2020-09-18 14:01:55.117549
37,2020-09-18 14:01:56.643313
38,2020-09-18 14:01:58.168421
39,2020-09-18 14:01:59.694127
40,2020-09-18 14:02:01.219838
41,2020-09-18 14:02:02.746546
42,2020-09-18 14:02:04.272184
43,2020-09-18 14:02:05.796923
44,2020-09-18 14:02:07.326355
45,2020-09-18 14:02:08.851469
46,2020-09-18 14:02:10.377681
47,2020-09-18 14:02:11.903081
48,2020-09-18 14:02:13.431104
49,2020-09-18 14:02:14.955717
50,2020-09-18 14:02:16.481667
51,2020-09-18 14:02:18.007357
52,2020-09-18 14:02:19.532649
53,2020-09-18 14:02:21.057734
54,2020-09-18 14:02:22.582606
55,2020-09-18 14:02:24.109628
56,2020-09-18 14:02:25.634909
