window,latency
0,2020-10-11 13:05:57.414361
1,2020-10-11 13:06:18.128039
2,2020-10-11 13:06:38.711511
3,2020-10-11 13:06:59.282920
4,2020-10-11 13:07:19.861980
5,2020-10-11 13:07:40.473353
6,2020-10-11 13:08:01.076080
7,2020-10-11 13:08:21.718498
8,2020-10-11 13:08:42.395732
9,2020-10-11 13:09:03.025497
10,2020-10-11 13:09:23.678045
11,2020-10-11 13:09:44.302729
12,2020-10-11 13:10:04.921556
13,2020-10-11 13:10:25.650750
14,2020-10-11 13:10:46.314584
15,2020-10-11 13:11:06.990117
16,2020-10-11 13:11:27.647260
17,2020-10-11 13:11:48.322899
18,2020-10-11 13:12:09.006640
19,2020-10-11 13:12:29.672270
20,2020-10-11 13:12:50.318493
21,2020-10-11 13:13:11.011756
22,2020-10-11 13:13:31.727086
23,2020-10-11 13:13:52.377166
24,2020-10-11 13:14:13.063769
25,2020-10-11 13:14:33.732961
26,2020-10-11 13:14:54.379602
27,2020-10-11 13:15:15.176189
28,2020-10-11 13:15:35.883769
29,2020-10-11 13:15:56.532182
30,2020-10-11 13:16:17.182255
31,2020-10-11 13:16:37.852845
32,2020-10-11 13:16:58.513372
33,2020-10-11 13:17:19.163093
34,2020-10-11 13:17:39.807806
35,2020-10-11 13:18:00.474998
36,2020-10-11 13:18:21.128280
37,2020-10-11 13:18:41.771350
38,2020-10-11 13:19:02.423645
39,2020-10-11 13:19:23.108924
40,2020-10-11 13:19:43.822543
41,2020-10-11 13:20:04.533090
42,2020-10-11 13:20:25.259135
43,2020-10-11 13:20:45.943977
44,2020-10-11 13:21:06.652294
45,2020-10-11 13:21:27.336369
46,2020-10-11 13:21:48.031671
47,2020-10-11 13:22:08.817795
48,2020-10-11 13:22:29.604295
49,2020-10-11 13:22:50.243557
50,2020-10-11 13:23:10.884712
51,2020-10-11 13:23:31.557195
52,2020-10-11 13:23:52.290474
53,2020-10-11 13:24:13.025575
54,2020-10-11 13:24:33.722272
55,2020-10-11 13:24:54.426008
56,2020-10-11 13:25:15.216194
