window,latency
0,94084.58
1,114201.737
2,133983.648
3,153089.169
4,171284.302
5,188314.31699999998
6,203733.271
7,217333.824
8,228810.559
9,237857.676
10,244225.069
11,247533.753
12,247591.711
13,247595.75
14,247674.881
15,247778.893
16,247856.907
17,247920.89
18,248001.949
19,248025.86
20,247994.281
21,248058.261
22,248120.251
23,248145.747
24,248215.257
25,248153.578
26,248136.473
27,248257.522
28,248307.722
29,248280.592
30,248247.155
31,248251.959
32,248266.24899999998
33,248222.597
34,248152.02300000002
35,248169.068
36,248135.73299999998
37,248109.441
38,248115.608
39,248004.157
40,248009.843
41,248072.118
42,248148.097
43,248162.27599999998
44,248210.193
45,248244.62900000002
46,248295.13499999998
47,248414.98500000002
48,248547.054
49,248543.385
50,248532.382
51,248519.93
52,248539.269
53,248564.438
54,248534.307
55,248553.304
56,248635.581
57,248836.457
58,248863.544
59,248777.272
60,248690.808
61,248793.759
62,248921.266
63,248997.425
64,249050.227
65,249091.092
66,249114.458
67,249094.861
68,249000.42500000002
69,248854.348
70,248865.546
71,248890.691
72,248916.743
73,248864.254
74,248788.606
75,248759.41700000002
76,248701.043
77,248613.245
78,248617.953
79,248729.07900000003
80,248766.29299999998
81,248735.958
82,248772.18
83,248824.486
84,248810.06199999998
85,249167.959
86,249129.495
87,249135.269
88,249242.951
89,249224.368
90,249247.282
91,249190.57799999998
92,249210.082
93,249170.665
94,249077.503
95,248997.30500000002
96,248934.872
97,248527.46099999998
98,248657.277
99,248651.024
100,248486.333
101,248525.983
102,248505.327
103,248439.674
104,248350.977
105,248339.239
106,248343.679
107,248321.87300000002
108,248382.021
109,248400.424
110,248589.093
111,248667.49300000002
112,248724.307
113,248767.887
114,248822.79
115,248900.408
116,248960.37999999998
117,249022.044
118,249075.017
119,249093.911
120,249083.662
121,249157.869
122,248939.65099999998
123,248895.678
124,248869.002
125,248810.372
126,248750.30599999998
127,248691.85100000002
128,248699.171
129,248699.359
130,248762.365
131,248806.61599999998
132,248820.463
133,248851.691
134,248895.56300000002
135,248898.18600000002
136,248919.33299999998
137,248953.28900000002
138,248933.784
139,248930.332
140,248910.143
141,248885.60799999998
142,248855.972
143,248859.577
144,248902.26
145,248900.467
146,248788.511
147,248804.06300000002
148,248784.447
149,248750.08399999997
150,248730.863
151,248784.14599999998
152,248892.645
153,249011.999
154,248973.748
155,248992.27099999998
156,248966.263
157,248944.47400000002
158,249024.56900000002
159,248954.53100000002
160,248927.669
161,249114.63900000002
162,249211.003
163,249146.548
164,249119.854
165,249092.633
166,249127.218
167,249082.37099999998
168,249050.93
169,249007.107
170,248941.462
171,249002.473
172,249059.31
173,248866.612
174,248778.996
175,248797.304
176,248696.625
177,248582.01
178,248542.01499999998
179,248532.99899999998
180,248550.913
181,248625.781
182,248685.63499999998
183,248728.705
184,248738.549
185,248805.268
186,248886.419
187,248961.008
188,249035.441
189,249128.086
190,249183.594
191,249208.93000000002
192,249414.904
193,249352.075
194,249530.71399999998
195,249613.056
196,1676791.9589999998
197,1677119.232
198,1677470.425
199,1677783.746
200,1678113.944
201,1678460.364
202,1678811.574
203,1679199.223
204,1679408.046
205,1679785.104
206,1679962.412
207,1680129.3499999999
208,253343.738
209,253349.678
210,253288.159
211,253329.551
212,253318.855
213,253336.575
214,253360.592
215,253440.139
216,253473.87
217,253529.344
218,253562.228
219,253564.766
220,253599.40399999998
221,253587.533
222,253669.04299999998
223,253665.456
224,253703.74000000002
225,253667.708
226,253613.79299999998
227,253502.649
228,253441.52
229,253536.369
230,253545.97699999998
231,253600.946
232,253608.68
233,253645.024
234,253546.19700000001
235,253488.15
236,253417.448
237,253389.25
238,253388.44900000002
239,253378.223
240,253344.943
241,253204.163
242,253142.987
243,253209.092
244,253277.861
245,253210.40899999999
246,253219.93800000002
247,253248.758
248,253249.988
249,253234.91
250,253231.266
251,253277.181
252,253457.887
253,253456.772
254,253482.002
255,253479.75400000002
256,253416.234
257,253470.079
258,253519.92
259,253629.696
260,253672.94999999998
261,253798.242
262,253932.145
263,253944.158
264,253832.804
265,253863.416
266,253863.62399999998
267,253760.195
268,253733.01499999998
269,253749.05599999998
270,253734.779
271,253626.78199999998
272,253637.424
273,253623.87699999998
274,253495.217
275,253491.46300000002
276,253424.152
277,253410.774
278,253435.271
279,253475.247
280,253476.772
281,253479.139
282,253560.183
283,253632.654
284,253668.69700000001
285,253615.641
286,253653.143
287,253605.534
288,253646.457
289,253705.553
290,253691.122
291,253635.13
292,253742.065
293,253734.487
294,253663.785
295,253711.418
296,253720.988
297,253751.221
298,253745.663
299,253846.687
300,253928.965
301,253949.501
302,253952.141
303,254016.996
304,254081.962
305,254091.389
306,254104.197
307,254016.818
308,254014.504
309,254015.097
310,254048.40300000002
311,254031.733
312,253986.027
313,253913.902
314,253894.926
315,253848.498
316,253667.922
317,253650.938
318,253664.456
319,253668.5
320,253586.315
321,253671.268
322,253648.66900000002
