window,latency
0,2020-10-12 12:44:15.539809
1,2020-10-12 12:44:36.183517
2,2020-10-12 12:44:58.458670
3,2020-10-12 12:45:21.887234
4,2020-10-12 12:45:47.275925
5,2020-10-12 12:46:12.552503
6,2020-10-12 12:46:39.673464
7,2020-10-12 12:47:07.472927
8,2020-10-12 12:47:36.231647
9,2020-10-12 12:48:06.338385
10,2020-10-12 12:48:36.734744
11,2020-10-12 12:49:08.498906
12,2020-10-12 12:49:28.238681
13,2020-10-12 12:49:46.057625
14,2020-10-12 12:50:02.939370
15,2020-10-12 12:50:18.424583
16,2020-10-12 12:50:33.619114
17,2020-10-12 12:50:47.437437
18,2020-10-12 12:51:05.471139
19,2020-10-12 12:51:19.360245
20,2020-10-12 12:51:32.491598
21,2020-10-12 12:51:46.286804
22,2020-10-12 12:52:00.157096
23,2020-10-12 12:52:13.824509
24,2020-10-12 12:52:27.597779
25,2020-10-12 12:52:41.038283
26,2020-10-12 12:52:54.960784
27,2020-10-12 12:53:09.278074
28,2020-10-12 12:53:22.599939
29,2020-10-12 12:53:35.562936
30,2020-10-12 12:53:49.069926
31,2020-10-12 12:54:02.460590
32,2020-10-12 12:54:16.400049
33,2020-10-12 12:54:30.220581
34,2020-10-12 12:54:43.974820
35,2020-10-12 12:54:58.607430
36,2020-10-12 12:55:13.995173
37,2020-10-12 12:55:29.116147
38,2020-10-12 12:55:44.873472
39,2020-10-12 12:56:00.425266
40,2020-10-12 12:56:16.123580
41,2020-10-12 12:56:31.349773
42,2020-10-12 12:56:46.798630
43,2020-10-12 12:57:02.221100
44,2020-10-12 12:57:18.249348
45,2020-10-12 12:57:33.806573
46,2020-10-12 12:57:50.001520
47,2020-10-12 12:58:05.782101
48,2020-10-12 12:58:22.577982
49,2020-10-12 12:58:39.101039
50,2020-10-12 12:58:56.003403
51,2020-10-12 12:59:13.578184
52,2020-10-12 12:59:30.863583
53,2020-10-12 12:59:48.218658
54,2020-10-12 13:00:06.016280
55,2020-10-12 13:00:23.912645
56,2020-10-12 13:00:42.335834
57,2020-10-12 13:01:00.273332
58,2020-10-12 13:01:18.275650
59,2020-10-12 13:01:36.769451
60,2020-10-12 13:01:54.977616
61,2020-10-12 13:02:12.812672
62,2020-10-12 13:02:31.491680
63,2020-10-12 13:02:49.819096
64,2020-10-12 13:03:06.891648
65,2020-10-12 13:03:23.815910
66,2020-10-12 13:03:40.470480
67,2020-10-12 13:03:56.118005
68,2020-10-12 13:04:12.280867
69,2020-10-12 13:04:27.487079
70,2020-10-12 13:04:42.833846
71,2020-10-12 13:04:58.032135
72,2020-10-12 13:05:12.690467
73,2020-10-12 13:05:27.677085
74,2020-10-12 13:05:42.253802
75,2020-10-12 13:05:56.952521
76,2020-10-12 13:06:11.265925
77,2020-10-12 13:06:25.812871
78,2020-10-12 13:06:40.466866
79,2020-10-12 13:06:55.271527
80,2020-10-12 13:07:10.715981
81,2020-10-12 13:07:24.798941
82,2020-10-12 13:07:40.166570
83,2020-10-12 13:07:55.855257
84,2020-10-12 13:08:11.802272
85,2020-10-12 13:08:27.516708
86,2020-10-12 13:08:44.195245
87,2020-10-12 13:09:06.319737
88,2020-10-12 13:09:28.585474
89,2020-10-12 13:09:50.948090
90,2020-10-12 13:10:07.809511
91,2020-10-12 13:10:24.086525
92,2020-10-12 13:10:41.036737
93,2020-10-12 13:10:57.625362
94,2020-10-12 13:11:15.368292
95,2020-10-12 13:11:33.245993
96,2020-10-12 13:11:50.847490
97,2020-10-12 13:12:08.549192
98,2020-10-12 13:12:26.431815
99,2020-10-12 13:12:43.674414
100,2020-10-12 13:13:01.138129
101,2020-10-12 13:13:18.569544
102,2020-10-12 13:13:36.368052
103,2020-10-12 13:13:53.852783
104,2020-10-12 13:14:10.631627
105,2020-10-12 13:14:27.508808
106,2020-10-12 13:14:43.661021
107,2020-10-12 13:15:00.420532
108,2020-10-12 13:15:17.395380
109,2020-10-12 13:15:34.149138
110,2020-10-12 13:15:50.872125
111,2020-10-12 13:16:07.123393
112,2020-10-12 13:16:23.123763
113,2020-10-12 13:16:39.540722
114,2020-10-12 13:16:55.034641
115,2020-10-12 13:17:11.198064
116,2020-10-12 13:17:26.948276
117,2020-10-12 13:17:43.255325
118,2020-10-12 13:17:59.055309
119,2020-10-12 13:18:16.113459
120,2020-10-12 13:18:37.106945
121,2020-10-12 13:18:57.967003
122,2020-10-12 13:19:18.958632
123,2020-10-12 13:19:40.274622
124,2020-10-12 13:19:59.786843
125,2020-10-12 13:20:15.423409
126,2020-10-12 13:20:32.329533
127,2020-10-12 13:20:48.282026
128,2020-10-12 13:21:05.323275
129,2020-10-12 13:21:22.160657
130,2020-10-12 13:21:39.516169
131,2020-10-12 13:21:57.027458
132,2020-10-12 13:22:14.593954
133,2020-10-12 13:22:32.276122
134,2020-10-12 13:22:56.076973
135,2020-10-12 13:23:19.797424
136,2020-10-12 13:23:42.826482
137,2020-10-12 13:24:05.209434
138,2020-10-12 13:24:26.180221
139,2020-10-12 13:24:42.597926
140,2020-10-12 13:24:59.596831
141,2020-10-12 13:25:16.869080
142,2020-10-12 13:25:33.246336
143,2020-10-12 13:25:50.748724
144,2020-10-12 13:26:07.967701
145,2020-10-12 13:26:24.877967
146,2020-10-12 13:26:41.236453
147,2020-10-12 13:26:57.336018
148,2020-10-12 13:27:12.637599
149,2020-10-12 13:27:28.120075
150,2020-10-12 13:27:42.825158
151,2020-10-12 13:27:57.596751
152,2020-10-12 13:28:12.385966
153,2020-10-12 13:28:27.251512
154,2020-10-12 13:28:41.936602
155,2020-10-12 13:28:56.095543
156,2020-10-12 13:29:09.935857
157,2020-10-12 13:29:24.427217
158,2020-10-12 13:29:38.947455
159,2020-10-12 13:29:53.505604
160,2020-10-12 13:30:08.614673
161,2020-10-12 13:30:23.719074
162,2020-10-12 13:30:38.790388
163,2020-10-12 13:30:59.244984
164,2020-10-12 13:31:20.696030
165,2020-10-12 13:31:42.101071
166,2020-10-12 13:32:03.293986
167,2020-10-12 13:32:24.949161
168,2020-10-12 13:32:47.312732
169,2020-10-12 13:33:09.435720
170,2020-10-12 13:33:30.193557
171,2020-10-12 13:33:47.236014
172,2020-10-12 13:34:04.384018
173,2020-10-12 13:34:21.419422
174,2020-10-12 13:34:38.555245
175,2020-10-12 13:34:55.056492
176,2020-10-12 13:35:11.584890
177,2020-10-12 13:35:27.807365
178,2020-10-12 13:35:43.573552
179,2020-10-12 13:35:58.856366
180,2020-10-12 13:36:14.059888
181,2020-10-12 13:36:29.587641
