window,latency
0,118260.863
1,138772.71600000001
2,163012.83599999998
3,182323.766
4,201449.465
5,221250.65699999998
6,239286.48200000002
7,257347.51899999997
8,274874.262
9,292161.944
10,308043.07
11,321385.462
12,321614.65900000004
13,317495.866
14,306992.33900000004
15,299778.755
16,290098.558
17,278374.47400000005
18,265988.629
19,251129.502
20,235282.579
21,218308.31900000002
22,201400.23299999998
23,184675.704
24,179957.843
25,175858.542
26,172703.372
27,170551.954
28,169251.00699999998
29,167627.343
30,167165.74
31,167015.30500000002
32,167336.87699999998
33,167829.711
34,167768.07299999997
35,168777.70200000002
36,168755.199
37,170474.511
38,172310.071
39,174418.40899999999
40,176322.299
41,178560.428
42,180270.703
43,182188.074
44,184677.584
45,186444.469
46,188627.716
47,190297.126
48,192841.003
49,193656.91799999998
50,195325.392
51,196918.00699999998
52,198603.903
53,200549.6
54,203302.078
55,206202.27
56,207889.17599999998
57,210627.315
58,219543.193
59,228645.668
60,237803.63199999998
61,247321.78
62,256265.523
63,259349.174
64,259668.01600000003
65,259625.609
66,257996.23100000003
67,255841.609
68,253890.32700000002
69,250664.961
70,241043.188
71,230646.065
72,219432.749
73,207841.188
74,196617.247
75,190002.908
76,186519.207
77,183493.37399999998
78,180968.807
79,179585.139
80,178305.99000000002
81,178062.293
82,177751.726
83,178021.17200000002
84,178822.361
85,180576.535
86,181837.71300000002
87,184188.363
88,185469.62
89,187744.26
90,190273.079
91,198261.90399999998
92,206819.322
93,215787.204
94,224070.647
95,232805.31199999998
96,241371.601
97,248488.023
98,249589.71600000001
99,250948.94
100,253386.728
101,254453.69400000002
102,255443.455
103,249911.813
104,243864.422
105,236824.419
106,229471.69199999998
107,221553.41100000002
108,214669.45
109,208007.916
110,207681.423
111,206640.114
112,204709.75400000002
113,203150.52800000002
114,201524.827
115,200509.375
116,199539.58
117,198630.46
118,198314.932
119,197599.117
120,196183.931
121,195471.16
122,194401.19
123,193042.53900000002
124,192516.869
125,192438.632
126,193113.188
127,193747.991
128,193768.747
129,194762.91900000002
130,195919.486
131,197480.91400000002
132,201519.20799999998
133,202672.24
134,204360.451
135,206983.872
136,209109.081
137,209888.01499999998
138,209676.08899999998
139,209904.875
140,210464.13999999998
141,212272.879
142,219094.42200000002
143,225953.691
144,229526.859
145,235087.779
146,239787.869
147,244334.084
148,248796.367
149,251608.29
150,249572.301
151,247080.161
152,245115.68099999998
153,241562.24
154,232003.087
155,222261.993
156,212762.921
157,204281.74000000002
158,196600.832
159,188364.342
160,181145.643
161,176948.906
162,178047.033
163,178972.072
164,179994.77099999998
165,180751.623
166,182713.414
167,184540.185
168,187095.226
169,189805.189
170,191813.554
171,194807.928
172,196793.557
173,198558.795
174,199556.512
175,200170.489
176,200141.083
177,201321.622
178,206463.945
179,212353.748
180,217061.078
181,221975.932
182,226644.211
183,230854.954
184,235359.411
185,239352.40099999998
186,245105.11
187,250677.482
188,257153.19599999997
189,262580.543
190,258935.522
191,253772.236
192,249072.799
193,243706.506
194,239221.61500000002
195,233768.23799999998
196,229028.84399999998
197,224563.63999999998
198,218413.969
199,213639.402
200,208176.25
201,202400.014
202,201335.521
203,201240.529
204,200913.622
205,201873.277
206,201932.16100000002
207,202885.306
208,203364.96099999998
209,203372.575
210,205103.115
211,205931.84199999998
212,206839.22100000002
213,207701.55800000002
214,209642.402
215,211623.209
216,213362.79200000002
217,214398.81600000002
218,214966.387
219,214694.38999999998
220,213199.33000000002
221,211896.22
222,208572.687
223,205585.402
224,202461.402
225,199652.193
226,195424.714
227,191834.787
228,188599.096
229,184856.157
230,182055.325
231,180178.516
232,179577.474
233,178999.43099999998
234,178635.338
235,179118.881
236,178815.242
237,179378.919
238,179695.667
239,180848.12600000002
240,182324.78
241,184890.48500000002
242,187662.97
243,190370.536
244,193112.54700000002
245,196641.692
246,200272.806
247,202794.08000000002
248,206347.524
249,208583.327
250,211310.115
251,212274.685
252,213542.133
253,213449.729
254,212876.495
255,212015.83
256,210660.088
257,208813.958
258,207237.709
259,205731.212
260,203856.098
261,202767.041
262,205470.413
263,205317.654
264,204835.282
265,205211.576
266,205453.61
267,206431.641
268,207936.36000000002
269,209131.508
270,210382.47999999998
271,210845.87099999998
272,213553.247
273,215105.899
274,218437.564
275,224511.552
276,229554.669
277,233450.93399999998
278,237607.337
279,235911.508
280,232922.514
281,229704.284
282,226267.009
283,223719.962
284,219194.56600000002
285,215811.657
286,206420.66
287,197998.637
288,190503.34100000001
289,183770.762
290,176933.048
291,175331.904
292,175260.367
293,174970.35700000002
294,175912.53399999999
295,176746.056
296,178191.685
297,178765.87699999998
298,180715.052
299,182182.783
300,188517.767
301,191552.399
302,194353.641
303,196979.003
304,198746.102
305,201244.528
306,203039.231
307,205249.10499999998
308,206379.18199999997
309,207841.55899999998
310,208987.132
311,210079.427
312,206379.57700000002
313,206344.794
314,205848.46300000002
315,206032.269
316,206762.29
317,206566.702
318,206832.24000000002
319,206130.27399999998
320,205692.451
321,205485.063
