window,latency
0,12564.132000000001
1,12235.279999999999
2,12135.621000000001
3,12154.111
4,12207.592
5,12271.856
6,12308.52
7,12334.503
8,12452.694
9,12569.421999999999
10,12587.532
11,12629.813
12,12663.273000000001
13,12671.309000000001
14,12616.583
15,12709.701000000001
16,12739.86
17,12745.919
18,12791.945
19,12942.908
20,12888.265000000001
21,12951.474
22,12944.508000000002
23,12876.622
24,12762.58
25,12771.67
26,12721.536
27,12811.444
28,12884.893999999998
29,12926.909
30,12977.980000000001
31,12988.365
32,13023.814
33,13074.321
34,13094.224
35,13124.470000000001
36,13147.177
37,13200.214
38,13255.999
39,13297.794
40,13358.903
41,13394.758
42,13452.902999999998
43,13514.25
44,13548.171999999999
45,13514.033
46,13585.631
47,13604.956
48,13612.938
49,13614.382000000001
50,14050.811
51,14336.755000000001
52,14361.102
53,14391.568
54,14449.789
55,14128.248
56,13774.074
57,13777.003999999999
58,13819.246
59,13879.486
60,13923.824
61,13945.267
62,13993.99
63,14012.738000000001
64,14032.672
65,14031.594000000001
66,14086.464
67,14084.768
68,14098.24
69,14165.667
70,14245.552
71,14294.862000000001
72,14323.658
73,14351.654999999999
74,14399.634
75,14416.738000000001
76,14446.357
77,14481.543
78,14540.229
79,14572.07
80,14582.144
81,14578.46
82,14601.221000000001
83,14616.389
84,14774.485999999999
85,14839.316
86,15129.622
87,15192.888
88,15254.549
89,15286.613
90,15190.735
91,14880.687
92,14905.391
93,14954.924
94,14974.713
95,15001.823
96,15101.055
97,15131.852
98,15211.525
99,15243.868
100,15345.922
101,15403.764000000001
102,15406.928
103,15388.741
104,15359.393
105,15430.932999999999
106,15467.564
107,15516.366
108,15603.313999999998
109,15656.859
110,15674.53
111,15639.547
112,15652.967999999999
113,15711.187
114,15676.836
115,15769.39
116,15827.502
117,15864.573
118,15834.192
119,15832.725999999999
120,15954.102
121,16001.358
122,15996.252999999999
123,16037.545000000002
124,16088.641
125,16119.305
126,16133.571
127,16233.524
128,16200.16
129,16256.27
130,16219.14
131,16254.389
132,16251.726999999999
133,16293.821999999998
134,16302.956999999999
135,16312.597
136,16348.61
137,16434.707
138,16438.127
139,16444.809
140,16480.533
141,16534.787
142,16567.808
143,16614.071
144,16726.96
145,16817.292999999998
146,16838.667999999998
147,16852.689000000002
148,16920.352000000003
149,17085.11
150,17282.082
151,17306.958000000002
152,17331.773999999998
153,17400.644
154,17417.464
155,17435.538999999997
156,17273.299000000003
157,17264.753
158,17330.905000000002
159,17376.076
160,17412.375999999997
161,17487.458
162,17510.971
163,17631.185999999998
164,17675.436999999998
165,17743.311999999998
166,17704.694
167,17693.902000000002
168,17724.815
169,17756.009
170,17782.712
171,17832.747000000003
172,17848.327
173,17925.372
174,17940.746
175,18056.277000000002
176,18105.352
177,18301.88
178,18382.969
179,18457.355
180,18465.611
181,18437.91
182,18480.861999999997
183,18481.721
184,18429.988999999998
185,18465.862999999998
186,18476.279000000002
187,18571.548
188,18633.281
189,18665.147
190,18741.801
191,18791.838
192,18852.299
193,18937.418
194,19004.979
195,18986.884
196,19025.75
197,19066.755
198,19110.394
199,19121.611999999997
200,19164.811
201,19233.146999999997
202,19349.184
203,19380.855
204,19384.635
205,19444.834
206,19439.236
207,19530.084
208,19560.284
209,19694.382999999998
210,19773.703
211,19793.214
212,19812.959
213,19996.601
214,20106.961
215,20083.521999999997
216,20064.378999999997
217,20101.145
218,20108.029
219,20127.175000000003
220,20349.375
221,20194.454
222,20218.387
223,20268.71
224,20347.009
225,20355.003
226,20408.063
227,20375.260000000002
228,20288.028000000002
229,20353.397
230,20369.459
231,20458.749
232,20510.200999999997
233,20443.032
234,20485.78
235,20503.948999999997
236,20516.069000000003
237,20537.072
238,20578.15
239,20657.913
240,20653.894999999997
241,20629.842
242,20654.504
243,20740.942
244,20776.515
245,20811.416999999998
246,20918.769
247,20970.217
248,21044.929
249,21127.928
250,21179.499
251,21197.254
252,21210.114
253,21227.294
254,21183.446
255,21168.039
256,21115.646
257,21141.724
258,21172.471999999998
259,21249.121
260,21327.425000000003
261,21356.712000000003
262,21424.698
263,21453.039
264,21535.962000000003
265,21585.658
266,21667.648
267,21710.635
268,21754.213
269,21809.615999999998
270,21831.763
271,21864.549
272,21904.823
273,21994.065
274,22038.207
275,22073.317
276,22112.748
277,22144.100000000002
278,22140.171
279,22182.816
280,22429.041
281,22578.466
282,22612.045
283,22705.233
284,22709.859
285,22710.774
286,22734.227
287,22754.667
288,22597.851
289,22568.412
290,22608.446
291,22655.685999999998
292,22685.424000000003
293,22749.355
294,22841.636000000002
295,22852.048
296,22871.446
297,22814.586
298,22846.464
299,22837.962
300,22829.769
301,22800.021999999997
302,22855.32
303,22868.289999999997
304,22922.471
305,22926.821
306,22950.776
307,22890.192
308,22913.021
309,22898.583
310,22902.915
311,22917.11
312,22894.444
313,22917.007999999998
314,22917.044
315,22913.747
316,22915.574
317,22914.034
318,22886.367
319,22891.785
320,22899.427
321,22898.803
