window,latency
0,2020-10-17 11:13:45.287871
1,2020-10-17 11:13:45.839552
2,2020-10-17 11:13:46.501185
3,2020-10-17 11:13:47.017992
4,2020-10-17 11:13:47.678143
5,2020-10-17 11:13:48.499463
6,2020-10-17 11:13:49.286089
7,2020-10-17 11:13:49.836462
8,2020-10-17 11:13:50.303544
9,2020-10-17 11:13:50.972767
10,2020-10-17 11:13:51.390624
11,2020-10-17 11:13:51.856090
12,2020-10-17 11:13:52.320777
13,2020-10-17 11:13:52.844920
14,2020-10-17 11:13:53.211961
15,2020-10-17 11:13:53.573734
16,2020-10-17 11:13:54.035371
17,2020-10-17 11:13:54.462683
18,2020-10-17 11:13:54.947015
19,2020-10-17 11:13:55.432858
20,2020-10-17 11:13:55.860341
21,2020-10-17 11:13:56.252197
22,2020-10-17 11:13:56.892867
23,2020-10-17 11:13:57.336121
24,2020-10-17 11:13:57.720519
25,2020-10-17 11:13:58.192213
26,2020-10-17 11:13:58.665744
27,2020-10-17 11:13:59.232320
28,2020-10-17 11:13:59.625236
29,2020-10-17 11:14:00.093014
30,2020-10-17 11:14:00.460396
31,2020-10-17 11:14:00.921668
32,2020-10-17 11:14:01.387487
33,2020-10-17 11:14:01.848198
34,2020-10-17 11:14:02.259302
35,2020-10-17 11:14:02.702550
36,2020-10-17 11:14:03.187977
37,2020-10-17 11:14:03.633346
38,2020-10-17 11:14:04.090188
39,2020-10-17 11:14:04.536201
40,2020-10-17 11:14:05.024998
41,2020-10-17 11:14:05.417326
42,2020-10-17 11:14:05.834439
43,2020-10-17 11:14:06.169422
44,2020-10-17 11:14:06.502585
45,2020-10-17 11:14:06.822003
46,2020-10-17 11:14:07.175291
47,2020-10-17 11:14:07.527784
48,2020-10-17 11:14:07.868621
49,2020-10-17 11:14:08.264017
50,2020-10-17 11:14:08.752326
51,2020-10-17 11:14:09.084543
52,2020-10-17 11:14:09.444664
53,2020-10-17 11:14:09.898415
54,2020-10-17 11:14:10.343201
55,2020-10-17 11:14:10.737132
56,2020-10-17 11:14:11.166708
57,2020-10-17 11:14:11.577329
58,2020-10-17 11:14:11.950183
59,2020-10-17 11:14:12.276285
60,2020-10-17 11:14:12.685218
61,2020-10-17 11:14:13.121851
62,2020-10-17 11:14:13.493959
63,2020-10-17 11:14:13.864004
64,2020-10-17 11:14:14.318577
65,2020-10-17 11:14:14.723163
66,2020-10-17 11:14:15.085687
67,2020-10-17 11:14:15.451347
68,2020-10-17 11:14:15.870394
69,2020-10-17 11:14:16.312848
70,2020-10-17 11:14:16.766606
71,2020-10-17 11:14:17.221545
72,2020-10-17 11:14:17.565575
73,2020-10-17 11:14:18.016488
74,2020-10-17 11:14:18.374263
75,2020-10-17 11:14:18.727536
76,2020-10-17 11:14:19.126818
77,2020-10-17 11:14:19.596562
78,2020-10-17 11:14:19.969649
79,2020-10-17 11:14:20.345594
80,2020-10-17 11:14:20.672038
81,2020-10-17 11:14:21.016758
82,2020-10-17 11:14:21.360394
83,2020-10-17 11:14:21.729606
84,2020-10-17 11:14:22.178790
85,2020-10-17 11:14:22.589675
86,2020-10-17 11:14:22.946620
87,2020-10-17 11:14:23.381983
88,2020-10-17 11:14:23.818473
89,2020-10-17 11:14:24.250225
90,2020-10-17 11:14:24.691735
91,2020-10-17 11:14:25.146826
92,2020-10-17 11:14:25.566438
93,2020-10-17 11:14:26.006264
94,2020-10-17 11:14:26.396591
95,2020-10-17 11:14:26.722599
96,2020-10-17 11:14:27.060467
97,2020-10-17 11:14:27.370639
98,2020-10-17 11:14:27.845079
99,2020-10-17 11:14:28.282268
100,2020-10-17 11:14:28.715297
101,2020-10-17 11:14:29.056321
102,2020-10-17 11:14:29.432353
103,2020-10-17 11:14:29.751537
104,2020-10-17 11:14:30.150404
105,2020-10-17 11:14:30.592704
106,2020-10-17 11:14:31.005263
107,2020-10-17 11:14:31.329531
108,2020-10-17 11:14:31.639330
109,2020-10-17 11:14:31.967730
110,2020-10-17 11:14:32.380444
111,2020-10-17 11:14:32.724717
112,2020-10-17 11:14:33.147354
113,2020-10-17 11:14:33.547807
114,2020-10-17 11:14:33.939268
115,2020-10-17 11:14:34.384885
116,2020-10-17 11:14:34.758149
117,2020-10-17 11:14:35.158508
118,2020-10-17 11:14:35.532884
119,2020-10-17 11:14:35.894607
120,2020-10-17 11:14:36.359393
121,2020-10-17 11:14:36.815794
122,2020-10-17 11:14:37.255349
123,2020-10-17 11:14:37.692134
124,2020-10-17 11:14:38.027289
125,2020-10-17 11:14:38.341349
126,2020-10-17 11:14:38.663656
127,2020-10-17 11:14:38.979155
128,2020-10-17 11:14:39.291390
129,2020-10-17 11:14:39.611716
130,2020-10-17 11:14:40.030036
131,2020-10-17 11:14:40.403092
132,2020-10-17 11:14:40.746325
133,2020-10-17 11:14:41.163334
134,2020-10-17 11:14:41.639074
135,2020-10-17 11:14:41.988878
136,2020-10-17 11:14:42.439757
137,2020-10-17 11:14:42.782940
138,2020-10-17 11:14:43.118726
139,2020-10-17 11:14:43.529217
140,2020-10-17 11:14:43.994920
141,2020-10-17 11:14:44.438244
142,2020-10-17 11:14:44.780344
143,2020-10-17 11:14:45.117209
144,2020-10-17 11:14:45.461877
145,2020-10-17 11:14:45.806765
146,2020-10-17 11:14:46.208577
147,2020-10-17 11:14:46.553225
148,2020-10-17 11:14:47.011935
149,2020-10-17 11:14:47.466656
150,2020-10-17 11:14:47.917085
151,2020-10-17 11:14:48.360606
152,2020-10-17 11:14:48.817909
153,2020-10-17 11:14:49.265887
154,2020-10-17 11:14:49.599941
155,2020-10-17 11:14:50.056982
156,2020-10-17 11:14:50.401856
157,2020-10-17 11:14:50.788852
158,2020-10-17 11:14:51.102817
159,2020-10-17 11:14:51.468550
160,2020-10-17 11:14:51.847075
161,2020-10-17 11:14:52.209813
162,2020-10-17 11:14:52.622111
163,2020-10-17 11:14:53.086149
164,2020-10-17 11:14:53.492825
165,2020-10-17 11:14:53.834246
166,2020-10-17 11:14:54.155284
167,2020-10-17 11:14:54.474541
168,2020-10-17 11:14:54.812272
169,2020-10-17 11:14:55.155615
170,2020-10-17 11:14:55.583995
171,2020-10-17 11:14:56.057784
172,2020-10-17 11:14:56.526088
173,2020-10-17 11:14:56.993076
174,2020-10-17 11:14:57.343414
175,2020-10-17 11:14:57.703469
176,2020-10-17 11:14:58.150889
177,2020-10-17 11:14:58.510332
178,2020-10-17 11:14:58.862132
179,2020-10-17 11:14:59.173174
180,2020-10-17 11:14:59.534058
181,2020-10-17 11:14:59.875529
182,2020-10-17 11:15:00.361161
183,2020-10-17 11:15:00.815143
184,2020-10-17 11:15:01.170458
185,2020-10-17 11:15:01.587209
