window,latency
0,2020-10-10 10:00:13.267970
1,2020-10-10 10:00:14.050269
2,2020-10-10 10:00:14.800857
3,2020-10-10 10:00:15.510614
4,2020-10-10 10:00:16.225744
5,2020-10-10 10:00:16.932448
6,2020-10-10 10:00:17.798823
7,2020-10-10 10:00:18.552752
8,2020-10-10 10:00:19.467445
9,2020-10-10 10:00:20.334265
10,2020-10-10 10:00:21.060807
11,2020-10-10 10:00:21.791107
12,2020-10-10 10:00:22.502063
13,2020-10-10 10:00:23.237283
14,2020-10-10 10:00:23.957597
15,2020-10-10 10:00:24.712100
16,2020-10-10 10:00:25.447967
17,2020-10-10 10:00:26.274077
18,2020-10-10 10:00:27.000198
19,2020-10-10 10:00:27.727444
20,2020-10-10 10:00:28.478832
21,2020-10-10 10:00:29.225769
22,2020-10-10 10:00:29.965223
23,2020-10-10 10:00:30.694950
24,2020-10-10 10:00:31.426075
25,2020-10-10 10:00:32.161512
26,2020-10-10 10:00:32.915370
27,2020-10-10 10:00:33.681878
28,2020-10-10 10:00:34.437799
29,2020-10-10 10:00:35.199802
30,2020-10-10 10:00:35.928178
31,2020-10-10 10:00:36.652270
32,2020-10-10 10:00:37.396244
33,2020-10-10 10:00:38.115249
34,2020-10-10 10:00:38.833226
35,2020-10-10 10:00:39.560618
36,2020-10-10 10:00:40.283687
37,2020-10-10 10:00:41.013920
38,2020-10-10 10:00:41.738819
39,2020-10-10 10:00:42.459915
40,2020-10-10 10:00:43.184088
41,2020-10-10 10:00:43.925149
42,2020-10-10 10:00:44.674461
43,2020-10-10 10:00:45.408074
44,2020-10-10 10:00:46.126109
45,2020-10-10 10:00:46.869577
46,2020-10-10 10:00:47.654847
47,2020-10-10 10:00:48.366778
48,2020-10-10 10:00:49.089925
49,2020-10-10 10:00:49.838387
50,2020-10-10 10:00:50.584060
51,2020-10-10 10:00:51.309827
52,2020-10-10 10:00:52.032442
53,2020-10-10 10:00:52.764382
54,2020-10-10 10:00:53.495431
55,2020-10-10 10:00:54.226745
56,2020-10-10 10:00:54.961839
57,2020-10-10 10:00:55.794080
58,2020-10-10 10:00:56.515124
59,2020-10-10 10:00:57.242569
60,2020-10-10 10:00:57.971258
61,2020-10-10 10:00:58.698336
62,2020-10-10 10:00:59.420071
63,2020-10-10 10:01:00.145310
64,2020-10-10 10:01:00.872810
65,2020-10-10 10:01:01.592588
66,2020-10-10 10:01:02.334470
67,2020-10-10 10:01:03.054024
68,2020-10-10 10:01:03.825173
69,2020-10-10 10:01:04.577443
70,2020-10-10 10:01:05.309676
71,2020-10-10 10:01:06.032112
