window,latency
0,16371.428999999998
1,19957.398999999998
2,25989.433999999997
3,31694.824
4,36911.155
5,42257.595
6,47079.600999999995
7,53670.192
8,59348.773
9,65138.70300000001
10,70899.388
11,76594.64
12,81902.365
13,87572.568
14,92812.913
15,97906.419
16,103776.486
17,109097.09599999999
18,114969.373
19,120790.825
20,126678.008
21,132462.134
22,138186.945
23,144611.46600000001
24,151147.299
25,156923.663
26,162754.67
27,168959.937
28,175154.098
29,180859.074
30,186351.937
31,191904.333
32,197512.046
33,203298.411
34,209015.082
35,214600.04499999998
36,220322.691
37,226058.372
38,231305.459
39,236194.567
40,241123.16100000002
41,246095.15899999999
42,251038.36000000002
43,255976.627
44,260132.64299999998
45,265050.113
46,269976.402
47,274904.267
48,279822.987
49,284279.39300000004
50,289669.42699999997
51,294490.348
52,299382.939
53,304172.523
54,309117.301
55,314205.138
56,319036.10400000005
57,323956.31
58,328837.49899999995
59,333808.12700000004
60,338724.666
61,343498.102
62,348398.42299999995
63,353303.011
64,358201.798
65,363099.636
66,368024.16599999997
67,372734.819
68,377645.714
69,382572.65
70,387691.744
71,393100.412
72,398005.441
73,402920.572
74,407806.304
75,412708.678
76,417633.583
77,423322.928
78,428249.20300000004
79,432675.82700000005
80,437586.795
81,442428.419
82,447330.376
83,452084.554
84,457485.47500000003
85,463523.603
86,468407.918
87,473069.96900000004
88,477904.044
89,482795.38300000003
90,487606.90599999996
91,492603.436
92,497535.384
93,502362.98099999997
94,507078.716
95,511974.858
96,516953.614
97,522554.99
98,527620.3759999999
99,532490.149
100,537375.056
101,542049.85
102,546922.749
103,551788.4430000001
104,555950.514
105,561591.1610000001
106,567505.276
107,570474.525
108,575307.0549999999
109,580229.57
110,585777.588
111,591943.823
112,596861.998
113,601744.87
114,604960.012
115,609093.455
116,614004.7590000001
117,618856.091
118,623593.982
119,628449.4580000001
120,633360.866
121,638275.458
122,643221.11
123,648899.454
124,655206.395
125,661663.097
126,666582.756
127,670086.015
128,675022.934
129,679793.444
130,685049.615
131,688416.167
132,694161.112
133,700493.323
134,705428.673
135,710242.8180000001
136,715142.84
137,720041.6340000001
138,725216.93
139,729831.519
140,734008.809
141,738258.509
142,742489.5480000001
143,747952.4450000001
144,752440.4439999999
145,757134.936
146,761380.459
147,765827.207
148,770136.783
149,774549.446
150,779064.316
151,783434.6510000001
152,788108.3620000001
153,792803.0179999999
154,798680.338
155,803597.876
156,808547.921
157,813421.831
158,818296.3489999999
159,822099.0900000001
160,827997.8099999999
161,832958.7189999999
162,837866.018
163,842766.944
164,847661.896
165,852500.113
166,857432.237
167,862288.1579999999
168,866090.8319999999
169,872044.4169999999
170,876925.258
171,882615.815
172,887507.35
173,892406.319
174,895451.3759999999
175,900339.201
176,905911.5430000001
177,910643.3960000001
178,915488.836
179,921639.7849999999
180,926508.4500000001
181,933333.964
182,938253.443
183,943151.875
184,948066.412
185,952969.371
186,957903.201
187,962837.9619999999
188,967777.1209999999
189,972613.14
190,977491.586
191,982416.7660000001
192,987271.796
193,992168.195
194,996965.0380000001
195,1001847.674
196,1006608.629
197,1011568.897
198,1018325.477
199,1023145.3239999999
200,1027036.472
201,1032880.194
202,1038232.0219999999
203,1043125.5120000001
204,1048027.9550000001
205,1052940.931
206,1059252.865
207,1064166.8159999999
208,1069111.764
209,1073954.8429999999
210,1077435.1549999998
211,1082366.553
212,1087276.26
213,1092618.3969999999
214,1097527.4039999999
215,1103154.594
216,1108091.598
217,1113007.043
218,1117807.131
219,1122694.209
220,1127587.0010000002
221,1132443.035
222,1136529.21
223,1140975.8329999999
224,1145770.719
225,1150701.875
226,1155609.529
227,1160488.1199999999
228,1166124.685
229,1170940.852
230,1175808.17
231,1180877.902
232,1185773.118
233,1190323.3560000001
234,1195087.4819999998
235,1200020.1130000001
236,1204944.081
237,1209856.345
238,1214769.72
239,1219523.692
240,1224426.2619999999
241,1229332.0329999998
242,1234258.884
243,1239335.507
244,1244261.192
245,1249190.7610000002
246,1254552.361
247,1260903.793
248,1265783.553
249,1271146.55
250,1276065.391
251,1280984.358
252,1286924.204
253,1291775.248
254,1297052.294
255,1301975.033
256,1306949.172
257,1311753.789
258,1316575.323
259,1321423.004
260,1327607.313
261,1329458.335
262,1334221.49
263,1340350.695
264,1345231.402
265,1350045.8960000002
266,1355007.226
267,1359917.155
268,1365902.4710000001
269,1371314.434
270,1375937.639
271,1382236.5420000001
272,1385594.6409999998
273,1390182.921
274,1394206.5620000002
275,1398781.366
276,1403583.359
277,1408356.948
278,1413163.812
279,1417688.1909999999
280,1422486.326
281,1426961.859
282,1431384.378
283,1436163.729
284,1440783.598
285,1445723.361
286,1450661.794
287,1455588.713
288,1460497.979
289,1465844.646
290,1470745.8830000001
291,1477006.8630000001
292,1481867.835
293,1486760.064
294,1491785.616
295,1496704.35
296,1501371.578
297,1506283.766
298,1511195.014
299,1516150.0820000002
300,1520978.929
301,1526301.097
302,1531166.08
303,1535895.5929999999
304,1540617.058
305,1545344.324
306,1550062.881
307,1554697.987
308,1561100.009
309,1565710.495
310,1570417.426
311,1575106.067
312,1579356.496
313,1582860.962
