window,latency
0,13921.011
1,14888.686
2,16421.047000000002
3,18165.595
4,20101.89
5,22310.626
6,24457.336000000003
7,26623.105
8,28977.693
9,30934.664999999997
10,33149.029
11,35876.11
12,36656.076
13,37171.436
14,37657.079000000005
15,38013.461
16,38143.520000000004
17,38048.795
18,38051.412
19,38236.568
20,38353.909
21,38277.735
22,38266.458
23,37925.318
24,37678.952000000005
25,37349.632
26,37159.517
27,37506.401
28,37883.15
29,38600.339
30,39186.427
31,39721.452999999994
32,40362.975
33,41577.265
34,42826.498
35,43862.828
36,44936.926999999996
37,46052.237
38,47293.782999999996
39,48486.575000000004
40,49748.567
41,50811.177
42,51895.65
43,52946.348
44,54096.162
45,55325.901000000005
46,56727.794
47,57663.106999999996
48,58615.979
49,59524.744
50,60372.675
51,61292.606999999996
52,61910.670000000006
53,62549.219
54,63208.632000000005
55,64066.203
56,65003.70100000001
57,65990.608
58,66989.531
59,67832.101
60,68691.974
61,69519.039
62,70438.106
63,71374.977
64,72164.748
65,72905.678
66,73721.31899999999
67,74785.69799999999
68,75906.035
69,77012.49
70,77832.19900000001
71,78701.341
72,79501.782
73,80367.927
74,81136.891
75,81966.837
76,82546.62299999999
77,83100.86200000001
78,83643.895
79,84207.753
80,84744.308
81,85260.602
82,85632.41100000001
83,86131.87700000001
84,86862.473
85,87949.23199999999
86,89019.486
87,90158.383
88,91239.70199999999
89,92391.649
90,93637.192
91,94903.45499999999
92,96251.117
93,97305.19200000001
94,98229.345
95,99195.03899999999
96,100250.618
97,101407.43999999999
98,102515.304
99,103494.611
100,104532.088
101,105828.65
102,107171.412
103,108628.435
104,109895.577
105,111110.979
106,112291.141
107,113647.782
108,114947.213
109,116377.345
110,117218.436
111,118261.55500000001
112,119501.629
113,120788.651
114,122067.647
115,123004.042
116,124002.738
117,125115.45099999999
118,126292.422
119,127560.77500000001
120,128680.63799999999
121,129790.269
122,130886.59599999999
123,132126.319
124,133294.648
125,134530.47
126,135615.28999999998
127,136680.286
128,137813.843
129,138895.56
130,140031.994
131,140990.61800000002
132,141844.448
133,142663.104
134,143527.166
135,144314.419
136,145090.285
137,146020.26
138,146456.432
139,146945.388
140,147437.13
141,148054.491
142,148826.814
143,149721.99699999997
144,150397.122
145,151203.702
146,152104.97100000002
147,153034.884
148,153954.938
149,154869.79299999998
150,155741.185
151,156379.406
152,157324.74300000002
153,158469.94
154,159618.315
155,160864.875
156,161883.582
157,163097.238
158,164437.33000000002
159,165827.191
160,167225.675
161,168336.312
162,169414.313
163,170550.382
164,171676.95599999998
165,172854.207
166,173652.953
167,174513.079
168,175368.53199999998
169,176324.18300000002
170,177317.805
171,178339.888
172,179165.9
173,179916.294
174,180710.23500000002
175,181527.705
176,182347.89599999998
177,183264.946
178,184007.605
179,184849.227
180,185628.20500000002
181,186483.165
182,187441.617
183,188349.499
184,189048.006
185,189707.77300000002
186,190392.796
187,191131.984
188,191928.53
189,192806.681
190,193679.117
191,194468.317
192,195252.59900000002
193,196196.021
194,197118.257
195,198115.74
196,199087.616
197,199916.69400000002
198,200826.25
199,201841.82
200,203052.48599999998
201,204418.832
202,205641.942
203,206758.015
204,207901.12600000002
205,209107.75100000002
206,210328.662
207,211362.61099999998
208,212195.0
209,213040.899
210,213989.75999999998
211,214953.43500000003
212,216133.761
213,217127.737
214,218103.59600000002
215,219036.37399999998
216,219902.927
217,220720.36
218,221587.142
219,222139.215
220,222639.54799999998
221,223099.692
222,223620.752
223,224525.037
224,225495.642
225,226488.968
226,227085.551
227,227647.84399999998
228,228155.354
229,228765.959
230,229303.778
231,229823.365
232,230499.204
233,231221.20799999998
234,231925.024
235,232665.625
236,233558.498
237,234658.014
238,235740.802
239,236742.85499999998
240,237783.015
241,238417.39899999998
242,239128.567
243,239911.912
244,241216.961
245,242269.103
246,243358.71
247,244606.007
248,245798.027
249,246983.709
250,247864.074
251,248783.611
252,249689.904
253,250627.237
254,251782.245
255,252829.875
256,253779.483
257,254777.122
258,255910.99
259,257086.82299999997
260,258414.48700000002
261,259422.509
262,260430.853
263,261472.986
264,262553.92799999996
265,263736.233
266,264801.803
267,265957.609
268,267059.65300000005
269,268163.565
270,269214.635
271,270216.53199999995
272,270895.848
273,271604.27499999997
274,272337.846
275,273153.897
276,273984.737
277,274867.614
278,275797.65400000004
279,276713.394
280,277693.396
281,278727.391
282,279798.646
283,280996.294
284,282186.487
285,283222.24799999996
286,284277.18
287,285488.836
288,286727.09400000004
289,287994.566
290,289210.565
291,290274.326
292,291440.942
293,292693.86100000003
294,293972.371
295,295322.611
296,296536.811
297,297506.33800000005
298,298483.88
299,299477.191
300,300441.089
301,301342.906
302,302033.777
303,302503.976
304,303116.16400000005
305,303719.237
306,304564.392
307,305535.37
308,306590.678
309,307744.039
310,308686.488
311,309583.54600000003
312,310571.879
313,311569.153
314,312600.06399999995
315,313458.541
316,314276.114
317,315207.653
318,316195.82200000004
319,317122.142
320,318062.143
321,318660.39999999997
