window,latency
0,3819.9030000000002
1,3025.0080000000003
2,2643.544
3,2152.44
4,1979.257
5,2037.709
6,2355.083
7,2810.567
8,3259.945
9,3711.123
10,4265.465
11,4858.324
12,5292.867
13,5629.661999999999
14,5819.847000000001
15,5695.861
16,5644.929999999999
17,5520.344
18,5432.142
19,5339.502
20,5204.8769999999995
21,4964.398
22,4668.745000000001
23,4512.116
24,4465.705
25,4416.245
26,4378.683
27,4338.807
28,4319.021000000001
29,4274.016
30,4280.561
31,4238.317
32,4203.232
33,4181.511
34,4176.948
35,4161.76
36,4139.979
37,4151.026
38,4183.61
39,4212.076
40,4206.687
41,4148.5560000000005
42,4144.4890000000005
43,4152.1939999999995
44,4090.451
45,4004.2299999999996
46,3929.115
47,3983.0930000000003
48,4022.182
49,4061.904
50,4120.714999999999
51,4161.478
52,4216.265
53,4246.141
54,4306.967000000001
55,4337.588000000001
56,4352.419
57,4375.776
58,4389.389
59,4359.704
60,4359.154
61,4345.94
62,4354.4890000000005
63,4315.665
64,4293.312
65,4280.654
66,4178.954
67,4005.0160000000005
68,3868.805
69,3731.89
70,3709.627
71,3671.912
72,3596.547
73,3534.094
74,3488.4900000000002
75,3400.794
76,3273.0299999999997
77,3231.8790000000004
78,3194.696
79,3146.03
80,3098.665
81,3074.443
82,3056.3199999999997
83,3046.641
84,3045.722
85,3092.514
86,3114.652
87,3163.69
88,3258.4230000000002
89,3350.815
90,3426.254
91,3519.819
92,3632.628
93,3705.23
94,3758.841
95,3822.4230000000002
96,3874.136
97,3936.941
98,4094.985
99,4155.677
100,4218.917
101,4309.081
102,4385.335999999999
103,4478.432
104,4577.62
105,4658.283
106,4662.453
107,4763.317
108,4863.346
109,4964.549
110,5056.418
111,5134.264
112,5215.526
113,5188.2210000000005
114,5169.905
115,5175.752
116,5147.467
117,5117.312
118,5123.039000000001
119,5169.6359999999995
120,5197.396000000001
121,5202.045
122,5211.3009999999995
123,5224.732999999999
124,5230.929
125,5237.139
126,5263.244000000001
127,5291.396
128,5309.663
129,5320.183
130,5335.299
131,5366.771
132,5390.691000000001
133,5440.906
134,5536.9169999999995
135,5597.642
136,5682.607
137,5660.9259999999995
138,5641.531
139,5613.118
140,5585.638
141,5530.65
142,5488.282
143,5472.592
144,5463.0419999999995
145,5430.576
146,5377.34
147,5363.76
148,5305.142
149,5250.51
150,5230.371
151,5196.954
152,5165.361
153,5136.389
154,5067.453
155,5009.85
156,4987.375
157,4959.5019999999995
158,4978.393
159,5052.999
160,5153.265
161,5229.902
162,5171.54
163,5139.935
164,5131.498
165,5125.886
166,5134.706
167,5169.8589999999995
168,5164.75
169,5121.156
170,5173.38
171,5129.302
172,5092.847
173,5055.677000000001
174,5019.266
175,4971.316
176,4952.2519999999995
177,4904.769
178,4855.085
179,4806.449
180,4771.6269999999995
181,4735.279
182,4700.87
183,4692.774
184,4800.967
185,4968.261
186,5138.076
187,5237.688999999999
188,5350.091
189,5489.856
190,5636.646
191,5762.415
192,5867.507
193,5988.458
194,6079.4800000000005
195,6177.847
196,6257.888
197,6305.477
198,6327.835999999999
199,6330.586
200,6316.911
201,6273.342000000001
202,6224.59
203,6271.166
204,6345.887000000001
205,6399.643
206,6468.316
207,6556.316
208,6652.8679999999995
209,6839.2660000000005
210,6941.007
211,6968.468
212,6996.741
213,7031.155
214,7066.0109999999995
215,7121.228999999999
216,7154.192
217,7221.082
218,7307.572
219,7415.5740000000005
220,7523.990000000001
221,7620.514
222,7695.581
223,7733.871
224,7698.912
225,7699.590999999999
226,7747.272
227,7863.072
228,7949.558
229,8048.351000000001
230,8131.237
231,8201.466
232,8231.106
233,8162.228000000001
234,8088.2480000000005
235,8023.104
236,7943.776
237,7864.033
238,7796.427000000001
239,7773.503
240,7744.43
241,7720.434
242,7754.789
243,7747.539
244,7773.786999999999
245,7811.284
246,7861.758
247,7857.687999999999
248,7870.9
249,7900.253000000001
250,8030.445000000001
251,8131.6900000000005
252,8206.234999999999
253,8227.446
254,8246.243
255,8272.871000000001
256,8244.645
257,8205.512
258,8174.312000000001
259,8137.333
260,8120.78
261,8103.566000000001
262,8085.387000000001
263,8107.21
264,8091.979
265,8096.515
266,8132.192
267,8136.7390000000005
268,8257.61
269,8344.589
270,8448.884
271,8512.413
272,8567.646
273,8644.883
274,8725.315
275,8797.397
276,8879.228
277,8944.268
278,8978.201000000001
279,8981.701
280,8908.562
281,8821.903
282,8734.522
283,8628.926
284,8538.58
285,8414.116
286,8295.776
287,8176.704000000001
288,8062.582000000001
289,7965.301
290,7874.708
291,7745.5109999999995
292,7793.679
293,7857.579000000001
294,7940.892
295,8023.119
296,8091.87
297,8208.39
298,8342.193
299,8484.788
300,8621.947
301,8742.701000000001
302,8843.112
303,8864.412
304,8838.642
305,8813.871000000001
306,8778.847000000002
307,8738.331
308,8700.332
309,8750.82
310,8776.231
311,8793.796
312,8806.141
313,8820.501
