window,latency
0,2020-10-13 11:35:21.360509
1,2020-10-13 11:35:22.119700
2,2020-10-13 11:35:22.728984
3,2020-10-13 11:35:23.478976
4,2020-10-13 11:35:24.205872
5,2020-10-13 11:35:24.986978
6,2020-10-13 11:35:25.812694
7,2020-10-13 11:35:26.654961
8,2020-10-13 11:35:27.663563
9,2020-10-13 11:35:28.697155
10,2020-10-13 11:35:29.754857
11,2020-10-13 11:35:30.986503
12,2020-10-13 11:35:31.779729
13,2020-10-13 11:35:32.588318
14,2020-10-13 11:35:33.241322
15,2020-10-13 11:35:33.842663
16,2020-10-13 11:35:34.392924
17,2020-10-13 11:35:34.932807
18,2020-10-13 11:35:35.531991
19,2020-10-13 11:35:36.117813
20,2020-10-13 11:35:36.691943
21,2020-10-13 11:35:37.249304
22,2020-10-13 11:35:37.815874
23,2020-10-13 11:35:38.364498
24,2020-10-13 11:35:39.034332
25,2020-10-13 11:35:39.592564
26,2020-10-13 11:35:40.148160
27,2020-10-13 11:35:40.708793
28,2020-10-13 11:35:41.258670
29,2020-10-13 11:35:41.895963
30,2020-10-13 11:35:42.447098
31,2020-10-13 11:35:43.005525
32,2020-10-13 11:35:43.613017
33,2020-10-13 11:35:44.220148
34,2020-10-13 11:35:44.841988
35,2020-10-13 11:35:45.521833
36,2020-10-13 11:35:46.240039
37,2020-10-13 11:35:46.840522
38,2020-10-13 11:35:47.344411
39,2020-10-13 11:35:47.875951
40,2020-10-13 11:35:48.413167
41,2020-10-13 11:35:48.949272
42,2020-10-13 11:35:49.478878
43,2020-10-13 11:35:50.023913
44,2020-10-13 11:35:50.579741
45,2020-10-13 11:35:51.135046
46,2020-10-13 11:35:51.708536
47,2020-10-13 11:35:52.302257
48,2020-10-13 11:35:52.897152
49,2020-10-13 11:35:53.491274
50,2020-10-13 11:35:54.188885
51,2020-10-13 11:35:54.800229
52,2020-10-13 11:35:55.406718
53,2020-10-13 11:35:56.020474
54,2020-10-13 11:35:56.632609
55,2020-10-13 11:35:57.252385
56,2020-10-13 11:35:57.869208
57,2020-10-13 11:35:58.477557
58,2020-10-13 11:35:59.078948
59,2020-10-13 11:35:59.663874
60,2020-10-13 11:36:00.266010
61,2020-10-13 11:36:00.804456
62,2020-10-13 11:36:01.251978
63,2020-10-13 11:36:01.719509
64,2020-10-13 11:36:02.199143
65,2020-10-13 11:36:02.715395
66,2020-10-13 11:36:03.225031
67,2020-10-13 11:36:03.761546
68,2020-10-13 11:36:04.398448
69,2020-10-13 11:36:04.963190
70,2020-10-13 11:36:05.533783
71,2020-10-13 11:36:06.128661
72,2020-10-13 11:36:06.752040
73,2020-10-13 11:36:07.365428
74,2020-10-13 11:36:08.004524
75,2020-10-13 11:36:08.649447
76,2020-10-13 11:36:09.294210
77,2020-10-13 11:36:09.970792
78,2020-10-13 11:36:10.610356
79,2020-10-13 11:36:11.258820
80,2020-10-13 11:36:11.841584
81,2020-10-13 11:36:12.313637
82,2020-10-13 11:36:12.784895
83,2020-10-13 11:36:13.275540
84,2020-10-13 11:36:13.757113
85,2020-10-13 11:36:14.249725
86,2020-10-13 11:36:14.738791
87,2020-10-13 11:36:15.241460
88,2020-10-13 11:36:15.743764
89,2020-10-13 11:36:16.251784
90,2020-10-13 11:36:16.759625
91,2020-10-13 11:36:17.289850
92,2020-10-13 11:36:17.819060
93,2020-10-13 11:36:18.352103
94,2020-10-13 11:36:18.883105
95,2020-10-13 11:36:19.430628
96,2020-10-13 11:36:19.992431
97,2020-10-13 11:36:20.552136
98,2020-10-13 11:36:21.129283
99,2020-10-13 11:36:21.723753
100,2020-10-13 11:36:22.325534
101,2020-10-13 11:36:22.913298
102,2020-10-13 11:36:23.515483
103,2020-10-13 11:36:24.112285
104,2020-10-13 11:36:24.698244
105,2020-10-13 11:36:25.184848
106,2020-10-13 11:36:25.673462
107,2020-10-13 11:36:26.190680
108,2020-10-13 11:36:26.706436
109,2020-10-13 11:36:27.235672
110,2020-10-13 11:36:27.755094
111,2020-10-13 11:36:28.290680
112,2020-10-13 11:36:28.857834
113,2020-10-13 11:36:29.417558
114,2020-10-13 11:36:29.993162
115,2020-10-13 11:36:30.577249
116,2020-10-13 11:36:31.142472
117,2020-10-13 11:36:31.703031
118,2020-10-13 11:36:32.268293
119,2020-10-13 11:36:32.889277
120,2020-10-13 11:36:33.413574
121,2020-10-13 11:36:33.937905
122,2020-10-13 11:36:34.480777
123,2020-10-13 11:36:35.033373
124,2020-10-13 11:36:35.613045
125,2020-10-13 11:36:36.175413
126,2020-10-13 11:36:36.765135
127,2020-10-13 11:36:37.358899
128,2020-10-13 11:36:37.890785
129,2020-10-13 11:36:38.454057
130,2020-10-13 11:36:39.031518
131,2020-10-13 11:36:39.629031
132,2020-10-13 11:36:40.224150
133,2020-10-13 11:36:40.820816
134,2020-10-13 11:36:41.403900
135,2020-10-13 11:36:41.957820
136,2020-10-13 11:36:42.559372
137,2020-10-13 11:36:43.132327
138,2020-10-13 11:36:43.712740
139,2020-10-13 11:36:44.299234
140,2020-10-13 11:36:44.873643
141,2020-10-13 11:36:45.460539
142,2020-10-13 11:36:46.055204
143,2020-10-13 11:36:46.639340
144,2020-10-13 11:36:47.230577
145,2020-10-13 11:36:47.822057
146,2020-10-13 11:36:48.528952
147,2020-10-13 11:36:49.122577
148,2020-10-13 11:36:49.737322
149,2020-10-13 11:36:50.376038
150,2020-10-13 11:36:50.971215
151,2020-10-13 11:36:51.521709
152,2020-10-13 11:36:52.095069
153,2020-10-13 11:36:52.660503
154,2020-10-13 11:36:53.263987
155,2020-10-13 11:36:53.881565
156,2020-10-13 11:36:54.502052
157,2020-10-13 11:36:55.143730
158,2020-10-13 11:36:55.806692
159,2020-10-13 11:36:56.459487
160,2020-10-13 11:36:57.116141
161,2020-10-13 11:36:57.767056
162,2020-10-13 11:36:58.415355
163,2020-10-13 11:36:59.067303
164,2020-10-13 11:36:59.683264
165,2020-10-13 11:37:00.284219
166,2020-10-13 11:37:00.879912
167,2020-10-13 11:37:01.479617
168,2020-10-13 11:37:02.077377
169,2020-10-13 11:37:02.666727
170,2020-10-13 11:37:03.253862
171,2020-10-13 11:37:03.717824
172,2020-10-13 11:37:04.194174
173,2020-10-13 11:37:04.698915
174,2020-10-13 11:37:05.195464
175,2020-10-13 11:37:05.698735
176,2020-10-13 11:37:06.216726
177,2020-10-13 11:37:06.723159
178,2020-10-13 11:37:07.252035
179,2020-10-13 11:37:07.804038
180,2020-10-13 11:37:08.336296
181,2020-10-13 11:37:08.889966
182,2020-10-13 11:37:09.455511
183,2020-10-13 11:37:10.038598
184,2020-10-13 11:37:10.638539
