window,latency
0,2020-10-13 12:25:33.227338
1,2020-10-13 12:25:34.173106
2,2020-10-13 12:25:35.147682
3,2020-10-13 12:25:36.118821
4,2020-10-13 12:25:37.034514
5,2020-10-13 12:25:37.988861
6,2020-10-13 12:25:39.000512
7,2020-10-13 12:25:39.882629
8,2020-10-13 12:25:40.822533
9,2020-10-13 12:25:41.850762
10,2020-10-13 12:25:43.103697
11,2020-10-13 12:25:44.154385
12,2020-10-13 12:25:44.913950
13,2020-10-13 12:25:45.788959
14,2020-10-13 12:25:46.684882
15,2020-10-13 12:25:47.457657
16,2020-10-13 12:25:48.227092
17,2020-10-13 12:25:48.955732
18,2020-10-13 12:25:49.603870
19,2020-10-13 12:25:50.201246
20,2020-10-13 12:25:50.819931
21,2020-10-13 12:25:51.436696
22,2020-10-13 12:25:52.210815
23,2020-10-13 12:25:52.976408
24,2020-10-13 12:25:53.595229
25,2020-10-13 12:25:54.219227
26,2020-10-13 12:25:54.771548
27,2020-10-13 12:25:55.294754
28,2020-10-13 12:25:55.783847
29,2020-10-13 12:25:56.288657
30,2020-10-13 12:25:56.789103
31,2020-10-13 12:25:57.324808
32,2020-10-13 12:25:57.872980
33,2020-10-13 12:25:58.562645
34,2020-10-13 12:25:59.104461
35,2020-10-13 12:25:59.681481
36,2020-10-13 12:26:00.255026
37,2020-10-13 12:26:00.856358
38,2020-10-13 12:26:01.421775
39,2020-10-13 12:26:02.034313
40,2020-10-13 12:26:02.620009
41,2020-10-13 12:26:03.243947
42,2020-10-13 12:26:03.875822
43,2020-10-13 12:26:04.411190
44,2020-10-13 12:26:04.926837
45,2020-10-13 12:26:05.479114
46,2020-10-13 12:26:06.140220
47,2020-10-13 12:26:06.693712
48,2020-10-13 12:26:07.264486
49,2020-10-13 12:26:07.813677
50,2020-10-13 12:26:08.403020
51,2020-10-13 12:26:08.997485
52,2020-10-13 12:26:09.580603
53,2020-10-13 12:26:10.161913
54,2020-10-13 12:26:10.768676
55,2020-10-13 12:26:11.410404
56,2020-10-13 12:26:11.998121
57,2020-10-13 12:26:12.578464
58,2020-10-13 12:26:13.157672
59,2020-10-13 12:26:13.690024
60,2020-10-13 12:26:14.225986
61,2020-10-13 12:26:14.771341
62,2020-10-13 12:26:15.326487
63,2020-10-13 12:26:15.900261
64,2020-10-13 12:26:16.468543
65,2020-10-13 12:26:17.045619
66,2020-10-13 12:26:17.622110
67,2020-10-13 12:26:18.200514
68,2020-10-13 12:26:18.727969
69,2020-10-13 12:26:19.288738
70,2020-10-13 12:26:19.850950
71,2020-10-13 12:26:20.429416
72,2020-10-13 12:26:21.027562
73,2020-10-13 12:26:21.623020
74,2020-10-13 12:26:22.239222
75,2020-10-13 12:26:22.833940
76,2020-10-13 12:26:23.436317
77,2020-10-13 12:26:24.078516
78,2020-10-13 12:26:24.705066
79,2020-10-13 12:26:25.315725
80,2020-10-13 12:26:25.902630
81,2020-10-13 12:26:26.488635
82,2020-10-13 12:26:27.056142
83,2020-10-13 12:26:27.633350
84,2020-10-13 12:26:28.217997
85,2020-10-13 12:26:28.934607
86,2020-10-13 12:26:29.619471
87,2020-10-13 12:26:30.141939
88,2020-10-13 12:26:30.623452
89,2020-10-13 12:26:31.127038
90,2020-10-13 12:26:31.612705
91,2020-10-13 12:26:32.134579
92,2020-10-13 12:26:32.637102
93,2020-10-13 12:26:33.153777
94,2020-10-13 12:26:33.680843
95,2020-10-13 12:26:34.196318
96,2020-10-13 12:26:34.744368
97,2020-10-13 12:26:35.285830
98,2020-10-13 12:26:35.850690
99,2020-10-13 12:26:36.423900
100,2020-10-13 12:26:36.983227
101,2020-10-13 12:26:37.549091
102,2020-10-13 12:26:38.115346
103,2020-10-13 12:26:38.684318
104,2020-10-13 12:26:39.252170
105,2020-10-13 12:26:39.884075
106,2020-10-13 12:26:40.465044
107,2020-10-13 12:26:41.066924
108,2020-10-13 12:26:41.681809
109,2020-10-13 12:26:42.283367
110,2020-10-13 12:26:42.885355
111,2020-10-13 12:26:43.444001
112,2020-10-13 12:26:43.983803
113,2020-10-13 12:26:44.541912
114,2020-10-13 12:26:45.089049
115,2020-10-13 12:26:45.639250
116,2020-10-13 12:26:46.177886
117,2020-10-13 12:26:46.711923
118,2020-10-13 12:26:47.241913
119,2020-10-13 12:26:47.755200
120,2020-10-13 12:26:48.283515
121,2020-10-13 12:26:48.852673
122,2020-10-13 12:26:49.374004
123,2020-10-13 12:26:49.924974
124,2020-10-13 12:26:50.534182
125,2020-10-13 12:26:51.175606
126,2020-10-13 12:26:51.805454
127,2020-10-13 12:26:52.287895
128,2020-10-13 12:26:52.833945
129,2020-10-13 12:26:53.452740
130,2020-10-13 12:26:54.085648
131,2020-10-13 12:26:54.738205
132,2020-10-13 12:26:55.391162
133,2020-10-13 12:26:56.040519
134,2020-10-13 12:26:56.598729
135,2020-10-13 12:26:57.143480
136,2020-10-13 12:26:57.701181
137,2020-10-13 12:26:58.262440
138,2020-10-13 12:26:58.832671
139,2020-10-13 12:26:59.401010
140,2020-10-13 12:26:59.972989
141,2020-10-13 12:27:00.549771
142,2020-10-13 12:27:01.123639
143,2020-10-13 12:27:01.696885
144,2020-10-13 12:27:02.283895
145,2020-10-13 12:27:02.855476
146,2020-10-13 12:27:03.432885
147,2020-10-13 12:27:04.001649
148,2020-10-13 12:27:04.594362
149,2020-10-13 12:27:05.195438
150,2020-10-13 12:27:05.839279
151,2020-10-13 12:27:06.478684
152,2020-10-13 12:27:07.124172
153,2020-10-13 12:27:07.785985
154,2020-10-13 12:27:08.466128
155,2020-10-13 12:27:09.161988
156,2020-10-13 12:27:09.772413
