window,latency
0,8634.729
1,9876.085
2,10600.928
3,11356.759
4,12646.046
5,14124.327
6,15716.328000000001
7,16875.646
8,17903.244000000002
9,18925.695
10,19924.430999999997
11,20723.163
12,21380.935
13,21716.501
14,22598.885
15,23605.056999999997
16,24205.906
17,24616.949
18,24763.594999999998
19,25198.673
20,26077.823
21,26282.569
22,26548.898999999998
23,27889.844
24,28163.516
25,28304.137000000002
26,28607.166
27,29192.682999999997
28,29789.847999999998
29,30394.898999999998
30,31153.05
31,31966.863
32,32740.125999999997
33,33472.393
34,34158.454
35,34777.706000000006
36,35598.115
37,36456.342
38,37317.29
39,38162.866
40,39027.507
41,40102.995
42,40635.634000000005
43,41869.239
44,42914.637
45,43763.602
46,44268.364
47,45014.075
48,45436.803
49,46115.818
50,46571.081
51,47329.864
52,47786.526000000005
53,48427.58
54,49019.348
55,49728.513
56,50481.233
57,51191.634
58,52052.106
59,52926.395
60,53956.629
61,54774.622
62,55558.066
63,56124.68
64,56593.476
65,57424.496
66,58599.71
67,59599.595
68,60391.74
69,61148.808000000005
70,61946.344000000005
71,62728.055
72,63459.479
73,64043.155
74,64540.814
75,65486.834
76,66040.36
77,66754.891
78,67450.538
79,68239.194
80,68960.57
81,69762.68299999999
82,70558.724
83,71332.728
84,72596.98899999999
85,73431.165
86,74552.402
87,74975.26000000001
88,75776.35800000001
89,76546.415
90,77402.011
91,78198.72200000001
92,79056.215
93,79354.582
94,80075.492
95,80809.07500000001
96,81542.304
97,82262.528
98,83009.439
99,83843.213
100,84661.94
101,85304.939
102,86148.253
103,86892.962
104,88006.525
105,89021.287
106,89975.12700000001
107,90731.469
108,91479.79
109,92147.871
110,92911.261
111,93667.64
112,94452.514
113,95357.921
114,96140.022
115,96880.459
116,97593.871
117,98375.619
118,98876.822
119,99598.917
120,100368.584
121,101115.92
122,101710.656
123,102336.806
124,103701.848
125,104471.345
126,105222.669
127,105960.734
128,106673.538
129,107167.406
130,107750.11499999999
131,108146.694
132,108866.18400000001
133,109337.676
134,110049.898
135,110729.448
136,111453.959
137,112174.109
138,112884.868
139,113595.112
140,114333.107
141,115275.29800000001
142,116105.354
143,116916.366
144,117737.712
145,118538.287
146,119182.119
147,119985.379
148,120860.805
149,121630.24799999999
150,122351.35800000001
151,123065.457
152,123734.269
153,124431.79999999999
154,125340.04699999999
155,126006.067
156,126711.617
157,127460.135
158,128179.158
159,129154.12799999998
160,130143.30200000001
161,130813.302
162,131516.42899999997
163,132229.566
164,132951.973
165,133605.592
166,134253.848
167,135009.097
168,135644.94400000002
169,136309.642
170,137198.175
171,137814.219
172,138737.755
173,139353.93199999997
174,139987.955
175,140606.44
176,140991.068
177,141758.61800000002
178,142486.48299999998
179,143111.736
180,143882.61
181,144372.15699999998
182,144944.287
183,145669.24599999998
184,146379.519
185,147131.61500000002
186,147878.41700000002
187,148599.938
188,149333.581
189,150061.101
190,150777.478
191,151519.498
192,152258.717
193,152997.24599999998
194,153674.563
195,154591.771
196,155290.36500000002
197,156031.15099999998
198,156771.196
199,157506.183
200,158218.929
201,158923.122
202,159740.53399999999
203,160396.164
204,160957.074
205,161831.11500000002
206,162453.238
207,163047.93000000002
208,163750.909
209,164408.691
210,165008.58500000002
211,165602.178
212,166273.03399999999
213,166955.812
214,167618.19600000003
215,168286.91499999998
216,168948.408
217,169600.546
218,170340.56699999998
219,171481.629
220,171924.08000000002
221,173196.928
222,174142.856
223,174851.445
224,175534.846
225,176219.19199999998
226,176897.02399999998
227,177642.098
228,178371.32700000002
229,179085.131
230,179787.998
231,180439.497
232,181133.81100000002
233,181798.08800000002
234,182453.369
235,182976.734
236,183033.287
237,183647.91
238,184323.40300000002
239,184977.843
240,185659.922
241,186070.76799999998
242,186755.70500000002
243,187425.685
244,188103.315
245,188812.402
246,189634.405
247,190459.654
248,191280.591
249,192104.449
250,192714.765
251,193402.329
252,194185.485
253,194943.25699999998
254,195630.856
255,196273.876
256,197027.933
257,197669.145
258,198315.89800000002
259,199130.729
260,199829.24800000002
261,200512.98700000002
262,201142.203
263,201855.255
264,202585.563
265,203646.048
266,204377.733
267,205140.379
268,205854.32700000002
269,206562.886
270,207223.758
271,208026.96
272,208721.246
273,209403.601
274,209923.307
275,210788.35499999998
276,211476.21899999998
277,212140.269
278,212768.06
279,213678.211
280,214613.15
281,215324.195
282,216042.656
283,217101.87099999998
284,217769.777
285,218438.38999999998
286,219122.044
287,219984.24
288,220661.58
289,221325.85
290,221991.576
291,222619.404
292,223290.18099999998
293,223962.288
294,224630.344
295,225220.777
296,225626.301
297,225956.11
298,226513.321
299,226782.473
300,227042.075
301,227306.41
302,227705.292
303,228110.55
304,228247.182
305,228628.711
306,229044.088
307,229462.748
308,229894.872
309,230321.84699999998
310,230747.107
311,231436.888
312,231853.473
313,232263.759
314,232682.31399999998
315,233101.529
316,233524.787
317,233898.344
318,234177.593
319,234219.296
320,233997.207
321,233763.632
