window,latency
0,2020-10-27 09:24:19.581840
1,2020-10-27 09:24:22.333996
2,2020-10-27 09:24:25.062038
3,2020-10-27 09:24:28.374325
4,2020-10-27 09:24:31.330049
5,2020-10-27 09:24:34.015445
6,2020-10-27 09:24:36.574199
7,2020-10-27 09:24:39.271144
8,2020-10-27 09:24:41.886122
9,2020-10-27 09:24:44.938839
10,2020-10-27 09:24:47.660818
11,2020-10-27 09:24:50.727165
12,2020-10-27 09:24:53.203117
13,2020-10-27 09:24:56.153110
14,2020-10-27 09:24:58.745059
15,2020-10-27 09:25:01.232111
16,2020-10-27 09:25:03.925462
17,2020-10-27 09:25:07.179602
18,2020-10-27 09:25:10.001624
19,2020-10-27 09:25:12.523128
20,2020-10-27 09:25:15.025099
21,2020-10-27 09:25:17.523020
22,2020-10-27 09:25:20.023644
23,2020-10-27 09:25:22.529656
24,2020-10-27 09:25:24.944931
25,2020-10-27 09:25:27.497146
26,2020-10-27 09:25:30.151249
27,2020-10-27 09:25:32.594092
28,2020-10-27 09:25:35.034566
29,2020-10-27 09:25:37.457364
30,2020-10-27 09:25:39.890992
31,2020-10-27 09:25:42.462402
32,2020-10-27 09:25:44.909502
33,2020-10-27 09:25:47.345789
34,2020-10-27 09:25:49.766477
35,2020-10-27 09:25:53.085636
36,2020-10-27 09:25:55.577448
37,2020-10-27 09:25:57.990715
38,2020-10-27 09:26:00.403918
39,2020-10-27 09:26:03.378493
40,2020-10-27 09:26:06.388399
41,2020-10-27 09:26:08.832364
42,2020-10-27 09:26:11.331733
43,2020-10-27 09:26:13.799316
44,2020-10-27 09:26:15.774992
45,2020-10-27 09:26:17.846676
46,2020-10-27 09:26:20.296414
47,2020-10-27 09:26:22.795169
48,2020-10-27 09:26:26.800847
49,2020-10-27 09:26:29.276244
50,2020-10-27 09:26:31.384455
51,2020-10-27 09:26:33.819759
52,2020-10-27 09:26:36.275912
53,2020-10-27 09:26:38.752751
54,2020-10-27 09:26:41.257614
55,2020-10-27 09:26:43.757525
56,2020-10-27 09:26:46.261018
57,2020-10-27 09:26:48.770055
58,2020-10-27 09:26:51.597901
59,2020-10-27 09:26:54.545769
60,2020-10-27 09:26:57.224269
61,2020-10-27 09:26:59.699849
62,2020-10-27 09:27:02.220682
63,2020-10-27 09:27:04.737805
64,2020-10-27 09:27:07.168408
65,2020-10-27 09:27:09.577387
66,2020-10-27 09:27:12.053544
67,2020-10-27 09:27:14.479002
68,2020-10-27 09:27:16.923068
69,2020-10-27 09:27:19.146937
70,2020-10-27 09:27:21.773896
71,2020-10-27 09:27:24.265799
72,2020-10-27 09:27:27.076335
73,2020-10-27 09:27:29.531063
74,2020-10-27 09:27:32.007660
75,2020-10-27 09:27:34.379603
76,2020-10-27 09:27:36.807585
77,2020-10-27 09:27:39.406691
78,2020-10-27 09:27:42.603559
79,2020-10-27 09:27:44.952893
80,2020-10-27 09:27:47.274912
81,2020-10-27 09:27:49.143789
82,2020-10-27 09:27:51.496072
83,2020-10-27 09:27:53.483059
84,2020-10-27 09:27:55.795410
85,2020-10-27 09:27:58.108972
86,2020-10-27 09:28:00.421831
87,2020-10-27 09:28:02.730931
88,2020-10-27 09:28:05.055444
89,2020-10-27 09:28:07.359971
90,2020-10-27 09:28:09.664321
91,2020-10-27 09:28:11.969305
92,2020-10-27 09:28:14.274156
93,2020-10-27 09:28:16.582257
94,2020-10-27 09:28:18.890477
95,2020-10-27 09:28:21.845977
96,2020-10-27 09:28:24.721268
97,2020-10-27 09:28:27.347770
98,2020-10-27 09:28:29.663227
99,2020-10-27 09:28:32.620868
100,2020-10-27 09:28:34.989668
101,2020-10-27 09:28:37.297657
102,2020-10-27 09:28:39.600345
103,2020-10-27 09:28:41.704537
104,2020-10-27 09:28:44.012910
105,2020-10-27 09:28:46.315242
106,2020-10-27 09:28:48.617961
107,2020-10-27 09:28:50.922550
108,2020-10-27 09:28:53.228485
109,2020-10-27 09:28:55.552711
110,2020-10-27 09:28:57.940414
111,2020-10-27 09:29:00.521833
112,2020-10-27 09:29:03.037613
113,2020-10-27 09:29:05.350950
114,2020-10-27 09:29:07.991264
115,2020-10-27 09:29:10.759145
116,2020-10-27 09:29:13.085123
117,2020-10-27 09:29:15.603096
118,2020-10-27 09:29:17.919353
119,2020-10-27 09:29:20.818110
120,2020-10-27 09:29:23.141123
121,2020-10-27 09:29:25.472541
122,2020-10-27 09:29:27.351227
123,2020-10-27 09:29:29.485311
124,2020-10-27 09:29:31.490193
125,2020-10-27 09:29:33.818464
126,2020-10-27 09:29:36.144899
127,2020-10-27 09:29:38.496375
128,2020-10-27 09:29:40.760552
129,2020-10-27 09:29:43.082964
130,2020-10-27 09:29:45.409025
131,2020-10-27 09:29:47.728433
132,2020-10-27 09:29:49.849515
133,2020-10-27 09:29:52.372996
134,2020-10-27 09:29:54.696430
135,2020-10-27 09:29:57.023731
136,2020-10-27 09:29:59.378029
137,2020-10-27 09:30:01.725780
138,2020-10-27 09:30:04.055268
139,2020-10-27 09:30:06.694628
140,2020-10-27 09:30:09.008042
141,2020-10-27 09:30:11.320956
142,2020-10-27 09:30:13.313863
143,2020-10-27 09:30:15.629709
144,2020-10-27 09:30:17.380138
145,2020-10-27 09:30:19.638630
146,2020-10-27 09:30:21.305085
147,2020-10-27 09:30:23.621270
148,2020-10-27 09:30:25.934889
149,2020-10-27 09:30:28.253910
150,2020-10-27 09:30:30.648664
151,2020-10-27 09:30:32.645748
152,2020-10-27 09:30:34.967162
153,2020-10-27 09:30:37.289330
154,2020-10-27 09:30:39.605980
155,2020-10-27 09:30:41.351685
156,2020-10-27 09:30:43.221558
157,2020-10-27 09:30:45.800347
158,2020-10-27 09:30:48.115150
159,2020-10-27 09:30:50.433321
160,2020-10-27 09:30:53.398217
161,2020-10-27 09:30:55.265102
162,2020-10-27 09:30:57.584148
163,2020-10-27 09:30:59.906380
164,2020-10-27 09:31:02.030621
165,2020-10-27 09:31:04.345141
166,2020-10-27 09:31:06.662330
167,2020-10-27 09:31:09.183173
168,2020-10-27 09:31:11.520681
169,2020-10-27 09:31:13.898815
170,2020-10-27 09:31:16.216486
171,2020-10-27 09:31:18.531076
172,2020-10-27 09:31:20.523104
173,2020-10-27 09:31:22.837768
174,2020-10-27 09:31:25.152525
175,2020-10-27 09:31:27.467897
176,2020-10-27 09:31:30.631283
177,2020-10-27 09:31:32.951747
178,2020-10-27 09:31:35.266530
179,2020-10-27 09:31:37.581679
180,2020-10-27 09:31:40.667146
181,2020-10-27 09:31:42.608052
182,2020-10-27 09:31:44.922541
183,2020-10-27 09:31:46.720182
184,2020-10-27 09:31:48.594416
185,2020-10-27 09:31:50.909052
186,2020-10-27 09:31:53.233022
187,2020-10-27 09:31:55.551838
188,2020-10-27 09:31:57.938254
189,2020-10-27 09:32:00.260186
190,2020-10-27 09:32:02.586087
191,2020-10-27 09:32:04.912441
192,2020-10-27 09:32:07.235008
193,2020-10-27 09:32:09.562867
194,2020-10-27 09:32:11.888055
195,2020-10-27 09:32:14.216946
196,2020-10-27 09:32:16.555458
197,2020-10-27 09:32:18.896682
198,2020-10-27 09:32:21.613928
199,2020-10-27 09:32:24.144037
200,2020-10-27 09:32:26.474998
201,2020-10-27 09:32:28.808023
202,2020-10-27 09:32:31.144646
203,2020-10-27 09:32:33.544407
204,2020-10-27 09:32:35.887370
205,2020-10-27 09:32:38.225513
206,2020-10-27 09:32:40.560586
207,2020-10-27 09:32:42.886988
208,2020-10-27 09:32:46.246887
209,2020-10-27 09:32:48.142837
210,2020-10-27 09:32:50.926859
211,2020-10-27 09:32:53.250500
212,2020-10-27 09:32:55.519782
213,2020-10-27 09:32:57.848912
214,2020-10-27 09:33:00.186185
215,2020-10-27 09:33:02.725678
216,2020-10-27 09:33:05.056651
217,2020-10-27 09:33:07.708464
218,2020-10-27 09:33:10.099952
219,2020-10-27 09:33:12.873620
220,2020-10-27 09:33:15.525727
221,2020-10-27 09:33:18.054462
222,2020-10-27 09:33:20.384084
223,2020-10-27 09:33:22.717722
224,2020-10-27 09:33:25.056664
225,2020-10-27 09:33:27.434717
226,2020-10-27 09:33:28.875499
227,2020-10-27 09:33:31.216375
228,2020-10-27 09:33:33.291474
229,2020-10-27 09:33:35.626245
230,2020-10-27 09:33:37.957389
231,2020-10-27 09:33:40.284617
232,2020-10-27 09:33:42.607512
233,2020-10-27 09:33:44.933283
234,2020-10-27 09:33:47.267032
235,2020-10-27 09:33:49.595288
236,2020-10-27 09:33:51.926259
237,2020-10-27 09:33:54.192209
238,2020-10-27 09:33:56.863374
239,2020-10-27 09:33:59.390515
240,2020-10-27 09:34:01.725622
241,2020-10-27 09:34:04.115925
242,2020-10-27 09:34:06.443852
243,2020-10-27 09:34:08.972414
244,2020-10-27 09:34:11.042410
245,2020-10-27 09:34:13.659613
246,2020-10-27 09:34:15.724058
247,2020-10-27 09:34:18.049030
248,2020-10-27 09:34:20.364963
249,2020-10-27 09:34:22.689692
250,2020-10-27 09:34:25.014967
251,2020-10-27 09:34:26.886201
252,2020-10-27 09:34:29.204074
253,2020-10-27 09:34:31.531903
254,2020-10-27 09:34:33.526709
255,2020-10-27 09:34:35.855662
256,2020-10-27 09:34:38.112301
257,2020-10-27 09:34:40.428925
258,2020-10-27 09:34:42.750961
259,2020-10-27 09:34:45.081411
260,2020-10-27 09:34:47.398215
261,2020-10-27 09:34:50.113364
262,2020-10-27 09:34:52.444182
263,2020-10-27 09:34:54.769711
264,2020-10-27 09:34:57.025423
